NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.286,0.257,9.534,12.266,0.578,0.772,0.013,0.256
2,0.283,0.257,9.743,13.620,0.579,0.751,0.120,0.280
3,0.258,0.258,9.909,13.679,0.535,0.756,0.169,0.302
4,0.254,0.251,9.937,15.433,0.534,0.727,0.174,0.219
5,0.246,0.253,10.059,16.202,0.533,0.767,0.190,0.132
6,0.244,0.247,10.071,17.283,0.528,0.746,0.191,0.216
7,0.258,0.245,9.918,18.030,0.533,0.774,0.171,0.230
8,0.254,0.215,9.946,18.832,0.532,0.752,0.177,0.426
9,0.246,0.190,10.068,20.209,0.534,0.767,0.193,0.593
10,0.244,0.166,10.081,21.819,0.530,0.807,0.194,0.612
11,0.244,0.160,10.082,22.802,0.530,0.822,0.194,0.665
12,0.173,0.160,10.875,22.803,0.615,0.822,0.472,0.665
13,0.262,0.160,8.868,22.824,0.495,0.822,0.206,0.665
14,0.255,0.160,8.919,22.824,0.514,0.822,0.215,0.665
15,0.244,0.160,9.075,22.845,0.529,0.822,0.232,0.666
16,0.255,0.160,8.920,22.845,0.515,0.822,0.216,0.666
17,0.248,0.160,8.989,22.845,0.519,0.822,0.220,0.666
18,0.244,0.143,9.080,23.058,0.532,0.822,0.235,0.682
19,0.241,0.143,9.094,23.058,0.530,0.822,0.236,0.682
20,0.240,0.140,9.096,23.358,0.531,0.826,0.236,0.698
