NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.269,0.289,11.157,19.115,0.362,0.737,0.007,0.002
2,0.282,0.282,11.215,19.388,0.358,0.725,0.009,0.009
3,0.286,0.283,11.246,19.531,0.341,0.729,0.009,0.018
4,0.290,0.263,11.485,19.980,0.326,0.719,0.020,0.075
5,0.290,0.138,11.485,20.250,0.326,0.761,0.020,0.221
6,0.265,0.130,11.811,21.872,0.273,0.761,0.075,0.314
7,0.264,0.131,11.829,21.948,0.274,0.765,0.075,0.333
8,0.280,0.129,11.591,22.180,0.308,0.768,0.048,0.353
9,0.268,0.145,11.788,22.812,0.287,0.790,0.077,0.362
10,0.267,0.143,11.808,23.211,0.287,0.808,0.080,0.392
11,0.280,0.143,11.592,23.227,0.309,0.808,0.048,0.393
12,0.268,0.143,11.789,23.233,0.287,0.808,0.077,0.394
13,0.267,0.143,11.808,23.233,0.287,0.808,0.081,0.394
14,0.266,0.143,11.851,23.233,0.289,0.808,0.089,0.394
15,0.265,0.143,11.869,23.233,0.290,0.808,0.090,0.394
16,0.265,0.141,11.869,23.411,0.290,0.807,0.090,0.414
17,0.212,0.123,13.264,23.585,0.337,0.812,0.264,0.426
18,0.275,0.123,8.222,23.585,0.101,0.812,0.066,0.426
19,0.261,0.123,8.573,23.585,0.125,0.812,0.108,0.426
20,0.260,0.123,8.595,23.585,0.123,0.812,0.109,0.426
