NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.262,0.293,11.834,18.020,0.274,0.753,0.000,0.000
2,0.286,0.305,11.868,18.054,0.274,0.749,0.001,0.000
3,0.293,0.312,11.879,18.115,0.277,0.756,0.001,0.004
4,0.305,0.295,11.946,18.898,0.290,0.769,0.005,0.049
5,0.305,0.167,11.946,20.970,0.290,0.805,0.005,0.287
6,0.308,0.161,12.001,21.385,0.277,0.819,0.006,0.316
7,0.308,0.161,12.010,21.570,0.277,0.819,0.007,0.311
8,0.308,0.160,12.111,21.688,0.260,0.825,0.009,0.316
9,0.307,0.156,12.188,21.800,0.259,0.831,0.014,0.329
10,0.307,0.152,12.195,21.967,0.259,0.840,0.015,0.348
11,0.249,0.133,9.539,23.303,0.150,0.869,0.060,0.498
12,0.249,0.133,9.539,23.303,0.150,0.869,0.060,0.498
13,0.238,0.097,9.644,26.485,0.151,0.911,0.068,0.739
14,0.238,0.095,9.658,26.545,0.153,0.912,0.068,0.742
15,0.225,0.095,9.814,26.545,0.155,0.912,0.078,0.742
16,0.220,0.095,9.898,26.545,0.155,0.912,0.082,0.742
17,0.220,0.095,9.906,26.545,0.155,0.912,0.083,0.742
18,0.186,0.095,12.540,26.550,0.605,0.912,0.443,0.743
19,0.186,0.095,12.553,26.550,0.609,0.912,0.447,0.743
20,0.185,0.095,12.559,26.572,0.611,0.912,0.449,0.744
