NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.279,0.281,10.703,19.770,0.461,0.801,0.033,0.034
2,0.284,0.269,10.805,20.254,0.445,0.795,0.040,0.050
3,0.285,0.226,10.822,20.847,0.428,0.774,0.039,0.120
4,0.286,0.146,11.130,20.413,0.428,0.794,0.057,0.180
5,0.267,0.143,11.746,20.786,0.293,0.787,0.173,0.195
6,0.276,0.142,11.309,20.834,0.352,0.788,0.096,0.198
7,0.270,0.152,11.593,21.028,0.303,0.756,0.136,0.201
8,0.268,0.133,11.680,22.451,0.305,0.798,0.162,0.351
9,0.267,0.130,11.787,23.122,0.316,0.801,0.189,0.369
10,0.267,0.126,11.792,23.463,0.316,0.822,0.189,0.405
11,0.267,0.126,11.792,23.463,0.316,0.822,0.189,0.405
12,0.261,0.126,11.850,23.463,0.309,0.822,0.196,0.405
13,0.236,0.126,12.906,23.463,0.285,0.822,0.252,0.405
14,0.236,0.126,12.907,23.463,0.285,0.822,0.252,0.405
15,0.207,0.099,13.438,26.416,0.284,0.853,0.343,0.587
16,0.160,0.099,17.025,26.416,0.520,0.853,0.707,0.587
17,0.158,0.100,17.148,26.608,0.536,0.858,0.715,0.597
18,0.121,0.099,21.107,26.792,0.656,0.864,0.763,0.599
19,0.118,0.099,21.395,26.792,0.670,0.864,0.770,0.599
20,0.116,0.096,21.654,27.094,0.687,0.867,0.775,0.620
