NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.225,0.315,10.101,18.003,0.411,0.778,0.053,0.023
2,0.225,0.313,10.105,18.138,0.410,0.775,0.053,0.030
3,0.226,0.312,10.106,18.199,0.409,0.774,0.053,0.036
4,0.226,0.255,10.107,19.602,0.409,0.773,0.053,0.186
5,0.227,0.151,10.313,18.194,0.355,0.766,0.098,0.219
6,0.227,0.122,10.314,22.152,0.355,0.821,0.098,0.444
7,0.150,0.120,13.200,22.692,0.502,0.820,0.516,0.504
8,0.286,0.116,7.626,23.113,0.217,0.829,0.016,0.526
9,0.286,0.116,7.631,23.113,0.220,0.829,0.016,0.527
10,0.286,0.115,7.633,23.130,0.220,0.829,0.016,0.528
11,0.286,0.115,7.633,23.130,0.220,0.829,0.016,0.528
12,0.286,0.115,7.634,23.130,0.219,0.829,0.016,0.528
13,0.284,0.115,7.769,23.130,0.177,0.829,0.032,0.528
14,0.288,0.113,7.960,23.348,0.236,0.832,0.060,0.542
15,0.287,0.112,7.999,23.459,0.239,0.833,0.071,0.550
16,0.287,0.112,8.005,23.459,0.240,0.833,0.073,0.550
17,0.287,0.112,8.006,23.459,0.241,0.833,0.073,0.550
18,0.283,0.112,8.054,23.459,0.234,0.833,0.077,0.550
19,0.262,0.112,8.712,23.459,0.280,0.833,0.137,0.550
20,0.234,0.090,9.062,26.051,0.275,0.870,0.205,0.702
