NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.251,0.136,15.347,19.544,0.710,0.867,0.065,0.396
2,0.207,0.140,15.657,21.052,0.712,0.874,0.098,0.673
3,0.206,0.118,15.661,22.782,0.712,0.891,0.098,0.819
4,0.181,0.116,16.633,24.085,0.739,0.896,0.251,0.848
5,0.181,0.116,16.664,24.085,0.741,0.896,0.258,0.848
6,0.165,0.115,17.321,24.126,0.761,0.896,0.352,0.848
7,0.165,0.072,17.321,28.189,0.762,0.931,0.352,0.937
8,0.160,0.072,18.353,28.207,0.800,0.931,0.533,0.938
9,0.160,0.072,18.390,28.210,0.801,0.931,0.537,0.938
10,0.160,0.072,18.488,28.210,0.805,0.931,0.551,0.938
11,0.104,0.072,17.990,28.210,0.847,0.931,0.430,0.938
12,0.084,0.070,19.613,28.461,0.892,0.933,0.593,0.944
13,0.083,0.070,19.674,28.461,0.894,0.933,0.597,0.944
14,0.082,0.070,19.835,28.461,0.898,0.933,0.610,0.944
15,0.062,0.070,30.830,28.461,0.939,0.933,0.938,0.944
16,0.062,0.070,30.830,28.461,0.939,0.933,0.939,0.944
17,0.062,0.070,30.830,28.461,0.939,0.933,0.939,0.944
18,0.062,0.036,30.830,30.889,0.939,0.951,0.939,0.984
19,0.062,0.036,30.853,30.889,0.939,0.951,0.938,0.984
20,0.062,0.036,30.854,30.889,0.939,0.951,0.938,0.984
