NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.368,0.314,6.856,16.333,0.347,0.786,0.001,0.277
2,0.368,0.301,6.860,16.449,0.346,0.778,0.001,0.240
3,0.367,0.178,6.862,17.345,0.346,0.753,0.001,0.255
4,0.366,0.302,6.864,14.498,0.345,0.763,0.001,0.135
5,0.366,0.180,6.864,18.088,0.344,0.767,0.001,0.318
6,0.366,0.179,6.867,18.126,0.340,0.768,0.001,0.322
7,0.366,0.231,6.867,17.126,0.339,0.748,0.001,0.355
8,0.337,0.224,8.222,17.911,0.402,0.778,0.356,0.476
9,0.363,0.153,6.950,22.229,0.324,0.854,0.015,0.659
10,0.363,0.147,6.950,22.328,0.324,0.855,0.015,0.668
11,0.363,0.135,6.951,23.083,0.324,0.867,0.015,0.699
12,0.363,0.135,6.953,23.086,0.324,0.867,0.015,0.700
13,0.361,0.131,7.038,23.248,0.311,0.870,0.036,0.709
14,0.362,0.131,7.085,23.248,0.313,0.870,0.048,0.709
15,0.358,0.131,7.306,23.248,0.312,0.870,0.117,0.709
16,0.340,0.128,8.268,23.506,0.413,0.872,0.382,0.724
17,0.244,0.128,8.653,23.506,0.412,0.872,0.399,0.724
18,0.241,0.128,8.686,23.552,0.416,0.872,0.402,0.725
19,0.238,0.128,8.698,23.552,0.418,0.872,0.403,0.725
20,0.237,0.128,8.728,23.552,0.422,0.872,0.406,0.725
