NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.253,0.218,12.881,15.935,0.295,0.705,0.015,0.044
2,0.254,0.195,13.265,18.154,0.308,0.708,0.062,0.072
3,0.250,0.184,13.306,18.660,0.315,0.730,0.065,0.147
4,0.239,0.209,13.565,20.299,0.368,0.740,0.101,0.127
5,0.254,0.184,13.280,20.391,0.310,0.743,0.068,0.136
6,0.254,0.166,13.281,21.435,0.310,0.765,0.068,0.232
7,0.250,0.164,13.322,21.568,0.317,0.780,0.071,0.240
8,0.240,0.159,13.581,21.959,0.370,0.791,0.107,0.284
9,0.240,0.159,13.582,21.959,0.370,0.791,0.107,0.284
10,0.240,0.159,13.582,21.959,0.370,0.791,0.107,0.284
11,0.239,0.159,13.586,21.959,0.370,0.791,0.108,0.284
12,0.238,0.159,13.615,21.959,0.373,0.791,0.111,0.284
13,0.238,0.135,13.615,23.809,0.373,0.844,0.111,0.491
14,0.238,0.133,13.616,23.879,0.373,0.846,0.111,0.497
15,0.232,0.115,13.677,24.790,0.378,0.867,0.115,0.575
16,0.232,0.115,13.677,24.790,0.378,0.867,0.115,0.575
17,0.172,0.115,11.034,24.790,0.310,0.867,0.209,0.575
18,0.172,0.094,11.041,26.131,0.311,0.886,0.209,0.680
19,0.172,0.094,11.086,26.131,0.318,0.886,0.214,0.680
20,0.172,0.094,11.086,26.134,0.318,0.886,0.215,0.680
