NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.314,0.206,10.125,16.148,0.350,0.688,0.005,0.137
2,0.314,0.200,10.129,16.258,0.350,0.673,0.005,0.146
3,0.314,0.206,10.131,16.498,0.350,0.676,0.005,0.167
4,0.314,0.201,10.133,16.616,0.351,0.676,0.005,0.151
5,0.309,0.202,10.655,16.740,0.404,0.688,0.163,0.168
6,0.307,0.196,10.680,17.884,0.402,0.689,0.163,0.264
7,0.292,0.195,10.995,17.895,0.405,0.690,0.233,0.265
8,0.279,0.194,11.092,18.063,0.412,0.710,0.244,0.289
9,0.280,0.194,11.253,18.096,0.443,0.711,0.308,0.291
10,0.279,0.171,11.313,19.918,0.453,0.724,0.318,0.510
11,0.279,0.171,11.314,19.940,0.453,0.725,0.318,0.512
12,0.278,0.170,11.451,20.106,0.456,0.744,0.321,0.527
13,0.219,0.169,12.324,20.175,0.543,0.746,0.408,0.533
14,0.219,0.169,12.330,20.176,0.544,0.746,0.409,0.533
15,0.219,0.169,12.343,20.192,0.545,0.747,0.410,0.535
16,0.219,0.169,12.352,20.192,0.546,0.747,0.411,0.535
17,0.212,0.169,12.649,20.192,0.567,0.747,0.441,0.535
18,0.211,0.169,12.661,20.192,0.568,0.747,0.442,0.535
19,0.208,0.167,12.873,20.565,0.581,0.755,0.457,0.573
20,0.182,0.167,11.998,20.565,0.626,0.755,0.480,0.573
