NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.324,0.213,8.902,14.736,0.401,0.737,0.001,0.111
2,0.332,0.206,9.022,14.872,0.397,0.697,0.014,0.120
3,0.335,0.209,9.044,15.001,0.399,0.683,0.021,0.123
4,0.343,0.240,9.530,16.087,0.509,0.658,0.161,0.101
5,0.308,0.173,9.922,18.032,0.531,0.684,0.339,0.374
6,0.308,0.173,9.922,18.039,0.531,0.684,0.339,0.375
7,0.308,0.192,9.923,17.984,0.531,0.697,0.339,0.550
8,0.292,0.192,9.958,17.993,0.526,0.698,0.340,0.551
9,0.292,0.166,9.959,20.566,0.526,0.751,0.340,0.513
10,0.292,0.162,9.961,22.062,0.526,0.795,0.340,0.584
11,0.290,0.162,9.986,22.062,0.524,0.795,0.340,0.584
12,0.290,0.162,9.986,22.062,0.524,0.795,0.340,0.584
13,0.308,0.162,9.928,22.062,0.535,0.795,0.343,0.584
14,0.292,0.162,9.964,22.062,0.530,0.795,0.344,0.584
15,0.307,0.159,9.930,23.055,0.537,0.825,0.344,0.672
16,0.291,0.159,9.966,23.055,0.532,0.825,0.344,0.672
17,0.291,0.159,9.966,23.055,0.532,0.825,0.344,0.672
18,0.291,0.159,9.968,23.055,0.531,0.825,0.344,0.672
19,0.289,0.159,9.993,23.055,0.529,0.825,0.345,0.672
20,0.289,0.159,9.993,23.055,0.529,0.825,0.345,0.672
