NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.297,0.235,6.948,15.200,0.360,0.821,0.004,0.027
2,0.297,0.236,6.948,15.355,0.360,0.811,0.004,0.061
3,0.285,0.226,6.964,16.945,0.361,0.849,0.006,0.148
4,0.284,0.227,6.966,17.021,0.361,0.850,0.006,0.156
5,0.280,0.164,6.974,13.624,0.365,0.776,0.011,0.336
6,0.266,0.124,7.013,21.942,0.379,0.880,0.023,0.697
7,0.220,0.124,7.474,21.959,0.375,0.881,0.135,0.696
8,0.221,0.113,7.479,22.845,0.374,0.892,0.136,0.724
9,0.228,0.113,7.578,22.858,0.379,0.892,0.160,0.725
10,0.233,0.113,7.708,22.887,0.385,0.893,0.175,0.727
11,0.232,0.113,7.713,22.887,0.386,0.893,0.176,0.727
12,0.204,0.078,6.258,25.719,0.372,0.915,0.161,0.846
13,0.205,0.078,6.263,25.805,0.372,0.914,0.162,0.855
14,0.217,0.078,6.372,25.807,0.381,0.914,0.189,0.855
15,0.224,0.058,6.512,27.369,0.390,0.923,0.205,0.895
16,0.224,0.058,6.518,27.374,0.391,0.923,0.206,0.895
17,0.229,0.058,6.598,27.377,0.408,0.923,0.235,0.895
18,0.128,0.058,26.327,27.382,0.888,0.923,0.951,0.895
19,0.128,0.058,26.330,27.384,0.888,0.923,0.951,0.895
20,0.128,0.058,26.330,27.404,0.888,0.923,0.951,0.895
