NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.239,0.189,18.890,22.598,0.651,0.866,0.090,0.583
2,0.239,0.184,18.891,23.454,0.651,0.869,0.090,0.700
3,0.232,0.184,19.775,23.459,0.649,0.869,0.203,0.700
4,0.232,0.183,19.788,23.468,0.650,0.870,0.204,0.701
5,0.232,0.183,19.832,23.469,0.653,0.870,0.216,0.702
6,0.167,0.179,20.829,23.866,0.733,0.879,0.556,0.738
7,0.167,0.116,20.831,28.405,0.733,0.919,0.557,0.905
8,0.143,0.116,26.365,28.428,0.845,0.919,0.709,0.906
9,0.143,0.116,26.495,28.428,0.847,0.919,0.717,0.906
10,0.141,0.114,26.943,28.879,0.855,0.927,0.730,0.918
11,0.140,0.103,27.569,30.758,0.864,0.943,0.760,0.955
12,0.140,0.076,27.570,31.700,0.864,0.947,0.760,0.966
13,0.140,0.076,27.570,31.701,0.864,0.947,0.760,0.966
14,0.140,0.076,27.570,31.702,0.864,0.947,0.760,0.966
15,0.140,0.076,27.570,31.702,0.864,0.947,0.760,0.966
16,0.140,0.076,27.570,31.702,0.864,0.947,0.760,0.966
17,0.140,0.076,27.570,31.702,0.864,0.947,0.760,0.966
18,0.140,0.076,27.570,31.743,0.864,0.948,0.760,0.967
19,0.107,0.076,29.061,31.743,0.896,0.948,0.839,0.967
20,0.106,0.076,29.263,31.743,0.900,0.948,0.838,0.967
