NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.133,0.213,17.976,16.838,0.760,0.836,0.440,0.130
2,0.129,0.248,18.064,17.033,0.764,0.671,0.446,1.826
3,0.128,0.139,18.075,19.374,0.763,0.845,0.446,0.984
4,0.122,0.134,18.536,19.495,0.770,0.845,0.475,0.984
5,0.116,0.129,20.783,20.837,0.799,0.850,0.632,0.997
6,0.116,0.070,20.784,23.565,0.799,0.877,0.633,0.867
7,0.116,0.066,20.804,24.650,0.800,0.885,0.636,0.875
8,0.112,0.066,21.026,24.656,0.806,0.886,0.654,0.875
9,0.112,0.063,21.054,25.192,0.807,0.895,0.659,0.896
10,0.083,0.063,28.056,25.192,0.923,0.895,0.907,0.896
11,0.083,0.063,28.202,25.192,0.924,0.895,0.911,0.896
12,0.073,0.063,30.150,25.259,0.932,0.896,0.928,0.896
13,0.072,0.063,30.464,25.259,0.934,0.896,0.933,0.896
14,0.072,0.063,30.505,25.259,0.934,0.896,0.934,0.896
15,0.072,0.063,30.505,25.259,0.934,0.896,0.934,0.896
16,0.072,0.063,30.505,25.260,0.934,0.896,0.934,0.896
17,0.072,0.063,30.506,25.263,0.934,0.896,0.934,0.896
18,0.072,0.063,30.506,25.263,0.934,0.896,0.934,0.896
19,0.072,0.063,30.506,25.263,0.934,0.896,0.934,0.896
20,0.072,0.062,30.506,25.266,0.934,0.896,0.934,0.896
