NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.203,0.182,10.414,18.554,0.377,0.761,0.071,0.050
2,0.210,0.184,10.755,20.083,0.362,0.767,0.096,0.097
3,0.210,0.184,10.761,20.112,0.354,0.767,0.095,0.100
4,0.211,0.171,10.878,20.821,0.390,0.757,0.119,0.208
5,0.210,0.170,10.731,20.894,0.365,0.760,0.093,0.211
6,0.210,0.146,10.762,20.081,0.370,0.749,0.099,0.273
7,0.211,0.111,10.768,23.211,0.363,0.795,0.099,0.475
8,0.211,0.110,10.833,23.316,0.376,0.798,0.109,0.478
9,0.212,0.119,10.887,22.651,0.398,0.781,0.124,0.463
10,0.205,0.101,11.092,24.471,0.336,0.808,0.194,0.577
11,0.205,0.098,11.093,24.612,0.336,0.812,0.194,0.581
12,0.280,0.098,6.894,24.642,0.120,0.814,0.040,0.583
13,0.280,0.098,6.904,24.642,0.116,0.814,0.040,0.583
14,0.282,0.098,6.968,24.644,0.141,0.814,0.050,0.583
15,0.285,0.098,7.013,24.644,0.177,0.814,0.067,0.583
16,0.269,0.098,7.459,24.644,0.132,0.814,0.131,0.583
17,0.273,0.097,7.279,24.733,0.133,0.818,0.118,0.591
18,0.270,0.097,7.419,24.734,0.140,0.818,0.130,0.591
19,0.270,0.097,7.420,24.734,0.140,0.818,0.130,0.591
20,0.270,0.097,7.450,24.734,0.144,0.818,0.141,0.591
