NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.208,0.280,9.745,17.785,0.270,0.692,0.000,0.000
2,0.317,0.254,9.879,18.819,0.197,0.651,0.004,0.055
3,0.318,0.161,9.882,17.165,0.195,0.721,0.004,0.072
4,0.353,0.199,10.411,18.974,0.178,0.651,0.035,0.113
5,0.353,0.169,10.411,19.783,0.178,0.692,0.035,0.219
6,0.348,0.167,10.459,19.838,0.175,0.693,0.044,0.225
7,0.353,0.156,10.413,20.764,0.180,0.720,0.035,0.317
8,0.349,0.161,10.461,21.179,0.177,0.751,0.045,0.330
9,0.333,0.138,10.521,23.281,0.180,0.830,0.054,0.498
10,0.333,0.138,10.532,23.281,0.181,0.830,0.056,0.498
11,0.334,0.125,10.538,23.500,0.182,0.834,0.059,0.515
12,0.332,0.125,10.543,23.500,0.182,0.834,0.059,0.515
13,0.311,0.125,10.761,23.500,0.207,0.834,0.092,0.515
14,0.305,0.125,7.873,23.500,0.017,0.834,0.025,0.515
15,0.293,0.108,7.934,24.293,0.014,0.850,0.034,0.582
16,0.285,0.108,8.034,24.293,0.029,0.850,0.044,0.582
17,0.284,0.108,8.045,24.293,0.029,0.850,0.047,0.582
18,0.284,0.108,8.053,24.404,0.031,0.852,0.049,0.594
19,0.283,0.108,8.060,24.404,0.032,0.852,0.050,0.594
20,0.285,0.108,8.060,24.404,0.034,0.852,0.051,0.594
