NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.256,0.207,15.597,19.567,0.601,0.800,0.023,0.586
2,0.255,0.201,15.632,19.729,0.601,0.796,0.025,0.577
3,0.253,0.201,15.670,19.750,0.594,0.796,0.025,0.577
4,0.253,0.161,16.657,20.244,0.604,0.786,0.083,0.497
5,0.228,0.195,17.255,20.092,0.600,0.790,0.179,0.620
6,0.251,0.151,16.695,20.715,0.604,0.782,0.094,0.535
7,0.251,0.147,16.697,21.182,0.605,0.788,0.094,0.572
8,0.251,0.148,16.699,21.186,0.605,0.788,0.095,0.573
9,0.251,0.146,16.701,21.789,0.606,0.800,0.095,0.531
10,0.237,0.146,17.045,21.822,0.598,0.801,0.158,0.531
11,0.228,0.146,17.290,21.831,0.605,0.802,0.187,0.532
12,0.228,0.146,17.308,21.840,0.606,0.803,0.191,0.533
13,0.228,0.146,17.312,21.840,0.607,0.803,0.191,0.533
14,0.209,0.148,17.867,22.178,0.600,0.802,0.238,0.562
15,0.189,0.148,20.054,22.178,0.660,0.802,0.433,0.562
16,0.188,0.148,20.532,22.178,0.668,0.802,0.484,0.562
17,0.188,0.152,21.128,22.437,0.691,0.807,0.540,0.591
18,0.188,0.152,21.130,22.437,0.691,0.807,0.540,0.591
19,0.181,0.152,22.013,22.437,0.717,0.807,0.574,0.591
20,0.180,0.152,22.197,22.437,0.725,0.807,0.587,0.591
