NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.319,0.240,11.908,16.425,0.607,0.857,0.001,0.025
2,0.254,0.150,18.035,22.332,0.788,0.913,0.551,0.597
3,0.161,0.121,22.406,26.278,0.843,0.923,0.711,0.819
4,0.118,0.110,24.209,27.430,0.895,0.937,0.813,0.866
5,0.115,0.100,25.274,28.361,0.900,0.949,0.817,0.894
6,0.110,0.092,26.301,29.491,0.901,0.953,0.851,0.916
7,0.094,0.055,27.302,30.422,0.913,0.954,0.879,0.928
8,0.087,0.050,28.143,31.531,0.919,0.957,0.902,0.939
9,0.080,0.044,28.899,32.331,0.928,0.960,0.909,0.948
10,0.075,0.042,29.335,32.553,0.936,0.961,0.917,0.950
11,0.071,0.041,29.814,33.040,0.937,0.963,0.930,0.955
12,0.064,0.037,30.335,33.699,0.943,0.967,0.928,0.962
13,0.059,0.032,30.724,33.826,0.950,0.968,0.935,0.962
14,0.056,0.031,30.998,34.396,0.951,0.970,0.936,0.966
15,0.055,0.031,31.257,34.525,0.953,0.971,0.938,0.966
16,0.055,0.030,31.475,34.557,0.955,0.971,0.940,0.967
17,0.052,0.030,31.690,34.623,0.954,0.972,0.944,0.968
18,0.051,0.029,31.902,34.889,0.958,0.973,0.946,0.970
19,0.048,0.029,32.149,35.058,0.957,0.973,0.947,0.971
20,0.046,0.026,32.334,35.208,0.960,0.974,0.951,0.971
