NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.191,0.166,14.059,17.632,0.380,0.718,0.114,0.293
2,0.148,0.149,18.709,22.544,0.657,0.800,0.501,0.655
3,0.141,0.150,21.283,24.356,0.734,0.822,0.664,0.781
4,0.116,0.130,22.502,25.156,0.767,0.846,0.727,0.804
5,0.103,0.078,23.572,26.862,0.801,0.870,0.778,0.862
6,0.092,0.077,24.441,27.167,0.817,0.875,0.810,0.864
7,0.087,0.072,24.972,27.774,0.844,0.883,0.831,0.881
8,0.075,0.064,25.532,28.286,0.860,0.890,0.845,0.893
9,0.067,0.061,25.968,28.657,0.871,0.898,0.854,0.900
10,0.063,0.057,26.353,28.835,0.881,0.902,0.866,0.903
11,0.062,0.053,26.682,29.035,0.886,0.905,0.875,0.906
12,0.054,0.052,26.978,29.128,0.894,0.907,0.878,0.909
13,0.054,0.047,27.277,29.517,0.899,0.913,0.885,0.917
14,0.044,0.045,27.508,29.679,0.907,0.915,0.891,0.919
15,0.044,0.044,27.736,29.983,0.910,0.923,0.896,0.924
16,0.043,0.040,27.977,30.341,0.916,0.925,0.903,0.931
17,0.040,0.039,28.191,30.369,0.920,0.927,0.907,0.931
18,0.039,0.038,28.370,30.583,0.922,0.929,0.910,0.933
19,0.039,0.037,28.559,30.716,0.926,0.931,0.915,0.935
20,0.038,0.035,28.712,30.918,0.928,0.933,0.918,0.938
