NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.274,0.238,11.556,16.003,0.619,0.864,0.005,0.023
2,0.129,0.077,22.436,27.144,0.917,0.963,0.892,0.885
3,0.124,0.042,24.256,28.872,0.922,0.963,0.880,0.924
4,0.108,0.040,26.571,31.175,0.922,0.966,0.901,0.946
5,0.096,0.035,27.768,31.825,0.930,0.968,0.920,0.956
6,0.092,0.033,29.103,32.842,0.934,0.971,0.929,0.964
7,0.083,0.029,30.176,33.082,0.946,0.972,0.945,0.965
8,0.072,0.026,30.891,34.013,0.950,0.975,0.956,0.972
9,0.066,0.023,31.495,34.494,0.956,0.977,0.961,0.975
10,0.062,0.023,32.126,34.997,0.960,0.978,0.961,0.977
11,0.058,0.019,32.619,35.421,0.964,0.978,0.967,0.978
12,0.053,0.020,33.073,35.746,0.967,0.979,0.965,0.979
13,0.051,0.020,33.400,35.880,0.970,0.979,0.967,0.979
14,0.046,0.019,33.738,36.259,0.972,0.980,0.966,0.981
15,0.043,0.014,34.042,36.607,0.975,0.981,0.970,0.982
16,0.041,0.014,34.284,36.956,0.976,0.982,0.970,0.983
17,0.040,0.014,34.510,37.108,0.977,0.982,0.975,0.983
18,0.037,0.013,34.713,37.328,0.979,0.983,0.975,0.984
19,0.035,0.013,34.883,37.618,0.981,0.983,0.975,0.985
20,0.034,0.015,35.063,37.684,0.980,0.983,0.977,0.985
