NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.138,0.221,15.824,20.062,0.531,0.802,0.223,0.029
2,0.188,0.237,18.072,21.895,0.626,0.808,0.395,0.115
3,0.167,0.148,20.235,24.036,0.631,0.816,0.626,0.396
4,0.137,0.124,21.578,24.678,0.706,0.822,0.689,0.451
5,0.116,0.108,22.447,26.063,0.714,0.833,0.733,0.560
6,0.111,0.099,23.170,26.454,0.731,0.841,0.769,0.586
7,0.099,0.102,23.780,27.195,0.757,0.851,0.780,0.633
8,0.095,0.090,24.328,27.471,0.775,0.857,0.802,0.642
9,0.086,0.087,24.748,27.753,0.790,0.861,0.816,0.664
10,0.082,0.084,25.108,28.180,0.799,0.866,0.831,0.689
11,0.078,0.071,25.403,28.280,0.812,0.869,0.835,0.696
12,0.075,0.070,25.709,28.610,0.822,0.874,0.849,0.711
13,0.073,0.066,25.976,28.854,0.832,0.877,0.855,0.724
14,0.070,0.065,26.195,29.048,0.838,0.880,0.862,0.737
15,0.068,0.061,26.390,29.329,0.844,0.884,0.867,0.753
16,0.060,0.061,26.601,29.435,0.851,0.887,0.871,0.757
17,0.059,0.060,26.799,29.517,0.855,0.889,0.878,0.761
18,0.057,0.058,26.973,29.760,0.862,0.893,0.881,0.771
19,0.054,0.055,27.130,29.803,0.866,0.895,0.885,0.776
20,0.053,0.053,27.296,30.170,0.866,0.901,0.891,0.792
