NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.270,0.276,9.262,13.410,0.235,0.569,0.021,0.048
2,0.223,0.221,12.027,16.113,0.383,0.659,0.281,0.200
3,0.213,0.181,13.894,17.595,0.456,0.705,0.471,0.383
4,0.223,0.157,15.923,19.699,0.504,0.728,0.651,0.614
5,0.228,0.166,16.827,21.032,0.534,0.756,0.715,0.711
6,0.189,0.164,17.583,21.305,0.580,0.757,0.742,0.725
7,0.173,0.156,18.341,21.563,0.603,0.770,0.771,0.725
8,0.157,0.126,18.768,21.989,0.632,0.784,0.780,0.757
9,0.159,0.105,19.185,22.804,0.632,0.804,0.804,0.795
10,0.144,0.101,19.578,23.260,0.661,0.813,0.816,0.814
11,0.134,0.093,19.978,23.717,0.670,0.825,0.836,0.834
12,0.133,0.089,20.349,24.241,0.681,0.834,0.854,0.854
13,0.127,0.089,20.683,24.334,0.698,0.837,0.861,0.858
14,0.128,0.088,21.062,24.652,0.706,0.844,0.874,0.863
15,0.128,0.074,21.329,25.311,0.722,0.858,0.879,0.878
16,0.123,0.075,21.607,25.514,0.729,0.862,0.888,0.885
17,0.107,0.071,21.879,25.845,0.762,0.867,0.889,0.892
18,0.099,0.070,22.139,26.123,0.770,0.871,0.893,0.900
19,0.100,0.065,22.354,26.376,0.777,0.876,0.898,0.908
20,0.101,0.062,22.575,26.628,0.781,0.884,0.904,0.911
