NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.324,0.178,10.180,15.325,0.495,0.807,0.001,0.206
2,0.239,0.124,18.570,23.361,0.716,0.873,0.690,0.839
3,0.188,0.107,21.119,25.625,0.814,0.896,0.815,0.900
4,0.139,0.082,23.151,26.489,0.854,0.914,0.814,0.917
5,0.120,0.074,24.483,28.046,0.884,0.926,0.849,0.935
6,0.103,0.067,25.416,28.925,0.901,0.933,0.865,0.944
7,0.098,0.057,26.067,29.914,0.903,0.940,0.884,0.955
8,0.085,0.053,26.683,30.217,0.916,0.945,0.892,0.958
9,0.074,0.047,27.148,30.857,0.926,0.949,0.899,0.963
10,0.068,0.044,27.632,31.245,0.932,0.950,0.908,0.967
11,0.064,0.040,28.119,31.632,0.937,0.954,0.919,0.970
12,0.059,0.039,28.528,31.898,0.941,0.956,0.922,0.971
13,0.056,0.034,28.874,32.380,0.944,0.959,0.927,0.974
14,0.051,0.029,29.155,32.836,0.946,0.962,0.933,0.976
15,0.048,0.028,29.423,33.103,0.949,0.964,0.938,0.977
16,0.044,0.026,29.695,33.453,0.954,0.965,0.938,0.979
17,0.041,0.026,29.950,33.604,0.956,0.967,0.941,0.979
18,0.040,0.026,30.174,33.754,0.958,0.968,0.942,0.980
19,0.040,0.025,30.405,33.917,0.959,0.969,0.945,0.980
20,0.039,0.024,30.617,34.020,0.960,0.969,0.947,0.981
