NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.131,0.068,18.089,21.644,0.751,0.878,0.420,0.709
2,0.106,0.049,21.772,25.366,0.883,0.950,0.700,0.879
3,0.092,0.046,28.550,31.933,0.925,0.961,0.904,0.964
4,0.079,0.042,29.640,32.714,0.937,0.967,0.920,0.971
5,0.061,0.037,31.042,33.434,0.944,0.969,0.933,0.975
6,0.055,0.028,32.147,34.587,0.948,0.973,0.935,0.979
7,0.053,0.028,32.781,35.450,0.950,0.973,0.937,0.982
8,0.045,0.026,33.492,35.697,0.957,0.975,0.941,0.983
9,0.039,0.023,33.927,36.533,0.962,0.978,0.942,0.986
10,0.038,0.019,34.440,37.187,0.963,0.979,0.944,0.987
11,0.037,0.018,34.891,37.355,0.966,0.980,0.948,0.988
12,0.036,0.016,35.158,37.444,0.968,0.981,0.953,0.988
13,0.032,0.016,35.413,37.863,0.970,0.981,0.953,0.989
14,0.029,0.016,35.692,38.063,0.971,0.982,0.955,0.990
15,0.028,0.013,35.972,38.558,0.972,0.983,0.957,0.991
16,0.028,0.012,36.193,38.810,0.973,0.984,0.958,0.991
17,0.027,0.011,36.407,38.938,0.974,0.984,0.961,0.991
18,0.025,0.011,36.613,39.086,0.975,0.984,0.963,0.992
19,0.025,0.011,36.783,39.077,0.976,0.985,0.962,0.992
20,0.023,0.011,36.927,39.398,0.978,0.985,0.966,0.992
