NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.275,0.189,15.283,20.103,0.447,0.769,0.004,0.049
2,0.249,0.219,18.151,21.575,0.666,0.797,0.184,0.127
3,0.215,0.226,19.736,24.016,0.689,0.831,0.388,0.455
4,0.167,0.121,21.600,25.831,0.733,0.856,0.557,0.610
5,0.136,0.116,22.418,26.530,0.754,0.872,0.648,0.657
6,0.128,0.103,23.333,27.320,0.787,0.883,0.680,0.708
7,0.113,0.094,24.026,27.894,0.806,0.892,0.728,0.732
8,0.104,0.082,24.594,28.273,0.818,0.896,0.757,0.756
9,0.095,0.081,25.124,28.301,0.836,0.899,0.767,0.758
10,0.088,0.065,25.630,28.948,0.848,0.902,0.789,0.793
11,0.082,0.062,26.096,29.383,0.860,0.908,0.801,0.812
12,0.079,0.061,26.418,29.753,0.868,0.910,0.812,0.819
13,0.077,0.058,26.716,29.918,0.875,0.913,0.824,0.826
14,0.074,0.055,26.998,30.246,0.881,0.918,0.834,0.836
15,0.072,0.054,27.266,30.387,0.884,0.919,0.845,0.838
16,0.070,0.050,27.517,30.515,0.892,0.922,0.849,0.843
17,0.069,0.050,27.773,30.841,0.897,0.923,0.858,0.855
18,0.066,0.047,28.005,31.128,0.900,0.927,0.868,0.864
19,0.063,0.043,28.205,31.261,0.905,0.930,0.869,0.865
20,0.061,0.040,28.379,31.578,0.908,0.932,0.873,0.875
