NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.300,0.228,7.919,12.499,0.297,0.742,0.005,0.042
2,0.194,0.151,17.382,21.766,0.718,0.874,0.886,0.844
3,0.144,0.085,21.484,25.590,0.803,0.901,0.929,0.932
4,0.110,0.069,23.863,27.601,0.846,0.915,0.950,0.960
5,0.094,0.075,25.217,28.372,0.859,0.921,0.952,0.962
6,0.089,0.053,26.207,29.483,0.889,0.936,0.945,0.966
7,0.080,0.052,26.996,30.359,0.905,0.940,0.947,0.974
8,0.077,0.047,27.642,31.152,0.907,0.943,0.955,0.979
9,0.073,0.045,28.153,31.360,0.909,0.945,0.962,0.980
10,0.068,0.040,28.600,31.921,0.910,0.948,0.966,0.982
11,0.061,0.036,29.081,32.617,0.921,0.957,0.972,0.983
12,0.058,0.034,29.524,33.105,0.923,0.958,0.976,0.986
13,0.052,0.034,29.939,33.289,0.937,0.962,0.977,0.987
14,0.050,0.032,30.373,33.859,0.942,0.965,0.978,0.987
15,0.050,0.030,30.697,34.147,0.943,0.967,0.982,0.988
16,0.050,0.026,30.983,34.488,0.947,0.969,0.982,0.989
17,0.047,0.024,31.265,34.912,0.946,0.970,0.982,0.990
18,0.045,0.022,31.565,35.173,0.948,0.971,0.983,0.990
19,0.042,0.021,31.831,35.375,0.951,0.973,0.985,0.991
20,0.041,0.021,32.065,35.534,0.953,0.973,0.985,0.991
