NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.115,0.105,19.543,25.070,0.747,0.915,0.529,0.494
2,0.102,0.110,23.355,28.534,0.776,0.921,0.691,0.704
3,0.097,0.078,25.224,29.455,0.831,0.916,0.751,0.770
4,0.091,0.055,26.271,30.724,0.849,0.928,0.785,0.831
5,0.086,0.049,27.133,31.169,0.855,0.930,0.821,0.834
6,0.075,0.048,27.770,31.596,0.874,0.932,0.825,0.853
7,0.074,0.044,28.291,31.812,0.884,0.933,0.850,0.854
8,0.068,0.037,28.731,32.367,0.894,0.940,0.859,0.868
9,0.055,0.035,29.194,32.717,0.892,0.942,0.875,0.879
10,0.051,0.035,29.571,33.161,0.893,0.944,0.887,0.889
11,0.052,0.034,29.881,33.384,0.895,0.945,0.896,0.892
12,0.050,0.033,30.211,33.629,0.906,0.946,0.898,0.898
13,0.049,0.031,30.538,33.840,0.907,0.948,0.906,0.904
14,0.045,0.028,30.784,34.008,0.912,0.949,0.909,0.907
15,0.045,0.029,31.019,34.155,0.917,0.950,0.911,0.909
16,0.044,0.027,31.258,34.199,0.919,0.951,0.918,0.909
17,0.042,0.026,31.479,34.412,0.922,0.952,0.922,0.912
18,0.040,0.026,31.674,34.628,0.926,0.954,0.924,0.916
19,0.039,0.023,31.869,34.785,0.928,0.955,0.927,0.919
20,0.038,0.023,32.041,34.862,0.930,0.955,0.931,0.920
