NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.278,0.205,14.172,18.868,0.487,0.813,0.002,0.037
2,0.215,0.102,20.521,24.999,0.711,0.883,0.594,0.640
3,0.161,0.090,22.835,26.850,0.804,0.903,0.663,0.741
4,0.131,0.065,24.412,28.598,0.853,0.925,0.709,0.821
5,0.117,0.067,25.563,28.966,0.877,0.921,0.744,0.828
6,0.108,0.059,26.391,29.782,0.900,0.931,0.750,0.856
7,0.097,0.050,26.982,30.439,0.918,0.937,0.764,0.876
8,0.090,0.047,27.397,30.690,0.929,0.940,0.772,0.882
9,0.086,0.048,27.805,30.986,0.922,0.943,0.800,0.887
10,0.075,0.045,28.240,31.246,0.920,0.945,0.824,0.893
11,0.070,0.044,28.577,31.386,0.927,0.945,0.826,0.894
12,0.066,0.043,28.920,31.800,0.927,0.949,0.847,0.905
13,0.063,0.036,29.201,32.220,0.930,0.950,0.854,0.911
14,0.059,0.035,29.497,32.351,0.934,0.951,0.860,0.914
15,0.057,0.036,29.731,32.552,0.938,0.952,0.868,0.917
16,0.054,0.035,29.960,32.793,0.940,0.954,0.872,0.921
17,0.052,0.034,30.185,32.811,0.944,0.954,0.876,0.923
18,0.050,0.032,30.391,32.995,0.946,0.955,0.882,0.925
19,0.048,0.029,30.579,33.256,0.949,0.957,0.883,0.930
20,0.047,0.029,30.763,33.354,0.948,0.957,0.887,0.931
