NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.245,0.206,11.804,16.198,0.332,0.689,0.039,0.114
2,0.194,0.280,15.817,19.578,0.574,0.795,0.361,0.447
3,0.180,0.137,18.782,22.238,0.706,0.833,0.637,0.667
4,0.178,0.120,20.314,23.383,0.723,0.843,0.698,0.735
5,0.176,0.102,21.503,25.347,0.736,0.861,0.745,0.815
6,0.124,0.091,22.682,25.671,0.797,0.873,0.815,0.819
7,0.107,0.074,23.550,27.069,0.820,0.897,0.828,0.871
8,0.110,0.069,24.119,27.305,0.838,0.904,0.851,0.878
9,0.096,0.065,24.715,27.662,0.858,0.908,0.863,0.886
10,0.096,0.058,25.153,28.458,0.866,0.914,0.876,0.904
11,0.087,0.054,25.573,28.871,0.878,0.916,0.882,0.912
12,0.082,0.051,26.007,28.959,0.881,0.920,0.896,0.912
13,0.075,0.046,26.328,29.507,0.888,0.925,0.898,0.923
14,0.073,0.047,26.633,29.823,0.892,0.929,0.905,0.928
15,0.068,0.045,26.945,30.148,0.896,0.932,0.912,0.934
16,0.060,0.041,27.217,30.217,0.900,0.934,0.915,0.936
17,0.058,0.039,27.483,30.515,0.904,0.936,0.921,0.938
18,0.058,0.039,27.702,30.674,0.910,0.938,0.925,0.941
19,0.056,0.037,27.914,30.759,0.913,0.940,0.928,0.941
20,0.055,0.036,28.094,31.027,0.917,0.942,0.930,0.944
