NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.182,0.215,14.374,19.439,0.614,0.863,0.200,0.046
2,0.127,0.134,21.559,25.910,0.732,0.899,0.548,0.722
3,0.077,0.057,25.492,30.274,0.895,0.956,0.864,0.884
4,0.065,0.038,26.958,31.740,0.911,0.960,0.884,0.912
5,0.061,0.036,28.839,33.271,0.914,0.961,0.906,0.931
6,0.053,0.028,29.912,34.219,0.926,0.967,0.927,0.943
7,0.042,0.026,30.828,34.700,0.935,0.970,0.936,0.950
8,0.039,0.024,31.651,35.532,0.946,0.972,0.944,0.958
9,0.035,0.023,32.231,36.001,0.951,0.974,0.948,0.962
10,0.030,0.020,32.819,36.492,0.956,0.977,0.955,0.965
11,0.027,0.018,33.267,37.030,0.962,0.979,0.957,0.968
12,0.025,0.017,33.687,37.338,0.966,0.980,0.959,0.970
13,0.023,0.016,34.104,37.455,0.968,0.980,0.962,0.972
14,0.021,0.015,34.407,37.781,0.972,0.982,0.963,0.973
15,0.020,0.014,34.712,37.990,0.973,0.982,0.966,0.974
16,0.019,0.014,35.021,38.371,0.974,0.984,0.968,0.976
17,0.019,0.013,35.292,38.578,0.975,0.985,0.970,0.977
18,0.017,0.013,35.528,38.778,0.978,0.985,0.971,0.978
19,0.016,0.012,35.729,39.100,0.979,0.986,0.972,0.979
20,0.016,0.012,35.987,39.194,0.979,0.986,0.974,0.980
