NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.323,0.254,10.401,15.215,0.474,0.821,0.001,0.020
2,0.236,0.115,18.759,23.013,0.719,0.895,0.888,0.761
3,0.190,0.065,22.356,26.947,0.804,0.921,0.919,0.892
4,0.159,0.043,24.135,28.813,0.838,0.939,0.930,0.930
5,0.134,0.037,25.803,30.203,0.867,0.945,0.921,0.945
6,0.118,0.033,26.967,31.381,0.888,0.954,0.928,0.958
7,0.102,0.028,27.906,32.429,0.898,0.960,0.942,0.966
8,0.093,0.026,28.936,33.161,0.916,0.962,0.955,0.969
9,0.082,0.025,29.736,33.294,0.930,0.961,0.962,0.970
10,0.071,0.023,30.384,33.916,0.940,0.965,0.961,0.974
11,0.068,0.022,30.895,34.261,0.946,0.968,0.961,0.976
12,0.062,0.021,31.342,34.318,0.951,0.967,0.964,0.976
13,0.057,0.020,31.787,34.292,0.956,0.968,0.965,0.976
14,0.055,0.019,32.176,34.782,0.960,0.971,0.967,0.978
15,0.052,0.018,32.467,35.198,0.963,0.973,0.967,0.980
16,0.045,0.016,32.763,35.411,0.966,0.974,0.967,0.981
17,0.045,0.015,32.980,35.647,0.965,0.975,0.967,0.982
18,0.041,0.014,33.224,35.866,0.968,0.976,0.968,0.983
19,0.039,0.014,33.451,36.189,0.970,0.977,0.968,0.984
20,0.037,0.014,33.657,36.577,0.972,0.978,0.969,0.985
