NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.284,0.216,13.034,17.208,0.228,0.675,0.001,0.024
2,0.250,0.195,15.874,19.675,0.623,0.721,0.215,0.203
3,0.199,0.161,17.828,21.522,0.610,0.760,0.440,0.440
4,0.154,0.142,19.307,22.988,0.702,0.807,0.527,0.551
5,0.145,0.127,20.284,24.218,0.729,0.837,0.636,0.648
6,0.121,0.118,21.220,24.936,0.771,0.851,0.677,0.700
7,0.111,0.120,21.743,24.931,0.793,0.855,0.709,0.695
8,0.102,0.112,22.324,25.732,0.812,0.870,0.737,0.739
9,0.092,0.086,22.901,26.494,0.836,0.880,0.766,0.775
10,0.088,0.075,23.325,26.741,0.843,0.885,0.786,0.779
11,0.080,0.071,23.777,26.893,0.857,0.888,0.804,0.789
12,0.076,0.067,24.120,27.478,0.868,0.896,0.814,0.813
13,0.072,0.064,24.424,27.788,0.878,0.902,0.822,0.827
14,0.070,0.062,24.703,27.946,0.884,0.905,0.832,0.832
15,0.069,0.058,24.949,28.202,0.887,0.909,0.838,0.840
16,0.063,0.055,25.181,28.345,0.893,0.911,0.843,0.843
17,0.062,0.053,25.419,28.658,0.900,0.914,0.852,0.853
18,0.059,0.051,25.618,28.843,0.902,0.917,0.859,0.858
19,0.057,0.049,25.808,28.968,0.904,0.920,0.866,0.862
20,0.056,0.048,25.997,29.037,0.909,0.922,0.868,0.866
