NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.258,0.222,11.667,15.218,0.303,0.710,0.080,0.034
2,0.154,0.108,19.634,23.196,0.703,0.830,0.706,0.765
3,0.113,0.071,22.620,26.419,0.799,0.886,0.769,0.862
4,0.090,0.059,24.216,27.808,0.845,0.904,0.816,0.898
5,0.079,0.059,25.392,28.736,0.874,0.915,0.874,0.915
6,0.068,0.048,26.404,29.270,0.894,0.924,0.892,0.924
7,0.061,0.044,27.122,29.573,0.911,0.927,0.908,0.931
8,0.055,0.041,27.651,30.082,0.920,0.932,0.913,0.937
9,0.052,0.040,28.071,30.757,0.928,0.938,0.919,0.946
10,0.048,0.037,28.398,30.964,0.935,0.940,0.924,0.946
11,0.046,0.034,28.748,31.353,0.937,0.945,0.930,0.951
12,0.044,0.033,29.009,31.464,0.940,0.948,0.932,0.952
13,0.041,0.030,29.227,31.800,0.944,0.951,0.935,0.954
14,0.039,0.030,29.460,32.041,0.946,0.952,0.938,0.957
15,0.036,0.029,29.663,32.274,0.949,0.954,0.943,0.960
16,0.033,0.028,29.879,32.581,0.952,0.956,0.943,0.962
17,0.033,0.028,30.102,32.753,0.950,0.958,0.947,0.963
18,0.032,0.023,30.291,32.903,0.953,0.959,0.948,0.964
19,0.031,0.023,30.463,33.127,0.953,0.961,0.949,0.967
20,0.030,0.022,30.642,33.293,0.955,0.962,0.952,0.967
