NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.324,0.329,11.228,16.077,0.422,0.749,0.000,0.001
2,0.343,0.175,15.496,19.429,0.610,0.814,0.285,0.466
3,0.206,0.170,18.186,21.415,0.731,0.813,0.499,0.522
4,0.205,0.112,20.953,24.217,0.781,0.857,0.741,0.711
5,0.194,0.081,22.156,26.270,0.798,0.886,0.765,0.837
6,0.144,0.078,23.779,27.025,0.857,0.895,0.848,0.860
7,0.141,0.074,24.365,27.264,0.864,0.903,0.859,0.862
8,0.116,0.066,25.022,28.130,0.878,0.912,0.881,0.878
9,0.111,0.062,25.618,28.549,0.882,0.921,0.895,0.889
10,0.102,0.051,26.081,29.599,0.889,0.932,0.901,0.914
11,0.098,0.048,26.595,30.216,0.895,0.936,0.915,0.924
12,0.086,0.046,26.967,30.468,0.901,0.940,0.916,0.928
13,0.076,0.046,27.277,30.538,0.907,0.942,0.923,0.929
14,0.068,0.045,27.544,30.732,0.909,0.945,0.928,0.932
15,0.071,0.041,27.778,30.863,0.911,0.945,0.928,0.933
16,0.062,0.038,28.040,31.431,0.915,0.949,0.932,0.942
17,0.058,0.036,28.258,31.634,0.917,0.951,0.935,0.946
18,0.059,0.034,28.474,31.767,0.921,0.952,0.939,0.948
19,0.056,0.032,28.699,31.994,0.924,0.954,0.942,0.949
20,0.053,0.031,28.895,32.230,0.926,0.955,0.944,0.951
