NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.271,0.152,13.824,19.175,0.461,0.784,0.018,0.204
2,0.243,0.177,17.561,22.976,0.635,0.843,0.265,0.626
3,0.191,0.154,19.314,23.443,0.724,0.828,0.354,0.653
4,0.188,0.099,20.432,24.909,0.786,0.840,0.419,0.724
5,0.135,0.092,21.897,25.709,0.778,0.851,0.598,0.749
6,0.131,0.088,22.601,26.549,0.784,0.872,0.675,0.793
7,0.112,0.082,23.405,27.212,0.818,0.881,0.686,0.823
8,0.104,0.077,23.963,27.530,0.835,0.885,0.710,0.833
9,0.101,0.071,24.415,28.010,0.842,0.893,0.744,0.844
10,0.086,0.069,24.894,28.424,0.861,0.898,0.745,0.856
11,0.084,0.065,25.218,28.656,0.868,0.902,0.755,0.863
12,0.081,0.064,25.514,28.765,0.869,0.903,0.779,0.869
13,0.080,0.062,25.813,28.898,0.875,0.905,0.796,0.871
14,0.074,0.060,26.100,29.167,0.887,0.907,0.798,0.878
15,0.070,0.060,26.350,29.284,0.891,0.910,0.806,0.880
16,0.068,0.056,26.600,29.382,0.895,0.912,0.811,0.883
17,0.064,0.054,26.829,29.632,0.898,0.915,0.818,0.890
18,0.063,0.052,27.024,29.844,0.902,0.918,0.826,0.893
19,0.062,0.050,27.207,30.000,0.906,0.920,0.831,0.896
20,0.059,0.049,27.365,30.207,0.909,0.923,0.836,0.901
