NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.224,0.229,13.945,19.106,0.482,0.784,0.051,0.017
2,0.217,0.132,19.019,22.635,0.676,0.817,0.375,0.424
3,0.214,0.111,20.970,23.700,0.812,0.835,0.550,0.502
4,0.120,0.092,22.139,25.872,0.812,0.887,0.621,0.675
5,0.109,0.070,23.215,26.790,0.853,0.904,0.694,0.736
6,0.109,0.068,23.882,27.375,0.859,0.909,0.731,0.769
7,0.101,0.061,24.671,27.835,0.863,0.914,0.764,0.783
8,0.096,0.062,25.331,28.335,0.881,0.918,0.789,0.807
9,0.083,0.054,25.844,28.939,0.892,0.922,0.802,0.827
10,0.080,0.052,26.303,29.090,0.902,0.921,0.818,0.831
11,0.075,0.049,26.606,29.318,0.908,0.924,0.830,0.840
12,0.073,0.050,26.891,29.449,0.913,0.925,0.835,0.843
13,0.071,0.047,27.158,29.608,0.915,0.926,0.846,0.847
14,0.068,0.045,27.428,29.804,0.916,0.928,0.854,0.853
15,0.067,0.041,27.659,30.175,0.917,0.932,0.862,0.864
16,0.066,0.042,27.871,30.299,0.920,0.933,0.868,0.867
17,0.061,0.038,28.064,30.680,0.923,0.937,0.869,0.879
18,0.056,0.040,28.247,30.705,0.926,0.937,0.876,0.879
19,0.055,0.036,28.421,30.933,0.928,0.939,0.880,0.886
20,0.055,0.035,28.582,31.157,0.929,0.941,0.884,0.891
