NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.164,0.230,14.310,18.850,0.422,0.763,0.162,0.053
2,0.180,0.180,16.290,20.283,0.576,0.759,0.326,0.132
3,0.139,0.153,18.305,21.462,0.575,0.773,0.518,0.210
4,0.121,0.123,20.242,24.250,0.598,0.800,0.697,0.514
5,0.104,0.108,21.065,25.232,0.666,0.823,0.733,0.581
6,0.097,0.097,21.892,25.732,0.698,0.830,0.772,0.624
7,0.097,0.088,22.506,26.519,0.725,0.848,0.800,0.679
8,0.095,0.081,23.036,26.706,0.740,0.852,0.824,0.693
9,0.083,0.074,23.571,27.253,0.764,0.862,0.839,0.723
10,0.077,0.072,23.990,27.420,0.788,0.867,0.852,0.730
11,0.068,0.066,24.341,27.809,0.805,0.873,0.861,0.751
12,0.067,0.065,24.693,27.927,0.817,0.874,0.871,0.757
13,0.065,0.064,25.045,28.109,0.831,0.878,0.878,0.767
14,0.063,0.063,25.321,28.275,0.838,0.880,0.884,0.774
15,0.059,0.061,25.548,28.528,0.847,0.884,0.889,0.784
16,0.058,0.059,25.760,28.806,0.852,0.889,0.894,0.797
17,0.058,0.060,25.975,29.107,0.857,0.892,0.900,0.808
18,0.056,0.052,26.169,29.345,0.861,0.897,0.903,0.818
19,0.054,0.050,26.355,29.493,0.869,0.900,0.906,0.825
20,0.051,0.051,26.542,29.813,0.873,0.906,0.910,0.836
