NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.279,0.257,12.589,16.292,0.382,0.705,0.181,0.165
2,0.224,0.191,17.526,21.107,0.625,0.781,0.586,0.578
3,0.144,0.135,19.368,22.686,0.746,0.839,0.711,0.651
4,0.112,0.111,20.500,23.621,0.802,0.863,0.788,0.711
5,0.102,0.110,21.639,24.536,0.818,0.867,0.813,0.763
6,0.087,0.090,22.390,25.644,0.842,0.883,0.846,0.809
7,0.084,0.077,22.948,25.874,0.860,0.891,0.861,0.821
8,0.076,0.068,23.430,26.768,0.872,0.901,0.874,0.851
9,0.067,0.061,23.874,27.054,0.876,0.907,0.887,0.860
10,0.066,0.057,24.267,27.444,0.883,0.912,0.896,0.873
11,0.063,0.054,24.609,27.571,0.888,0.915,0.904,0.875
12,0.058,0.052,24.921,27.772,0.893,0.918,0.912,0.878
13,0.056,0.050,25.207,28.091,0.901,0.922,0.916,0.887
14,0.056,0.048,25.476,28.326,0.904,0.925,0.921,0.893
15,0.052,0.044,25.774,28.691,0.909,0.928,0.924,0.900
16,0.050,0.042,25.992,28.945,0.914,0.930,0.927,0.906
17,0.048,0.038,26.196,29.155,0.917,0.934,0.931,0.910
18,0.047,0.036,26.380,29.557,0.919,0.936,0.933,0.917
19,0.046,0.034,26.567,29.780,0.921,0.938,0.936,0.922
20,0.044,0.032,26.750,29.972,0.921,0.940,0.939,0.926
