NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.198,0.156,19.201,24.661,0.701,0.887,0.173,0.152
2,0.157,0.184,23.078,26.208,0.776,0.883,0.460,0.396
3,0.124,0.110,25.049,28.873,0.823,0.906,0.558,0.583
4,0.104,0.113,26.073,29.130,0.854,0.912,0.608,0.614
5,0.097,0.090,26.800,30.150,0.857,0.920,0.677,0.684
6,0.094,0.088,27.583,30.399,0.868,0.923,0.705,0.701
7,0.089,0.076,28.032,30.695,0.877,0.922,0.722,0.721
8,0.075,0.075,28.541,30.856,0.886,0.924,0.750,0.734
9,0.076,0.068,28.893,31.443,0.893,0.929,0.763,0.761
10,0.070,0.067,29.262,31.507,0.900,0.931,0.773,0.766
11,0.068,0.063,29.535,31.941,0.905,0.935,0.785,0.786
12,0.063,0.058,29.791,32.294,0.907,0.937,0.797,0.799
13,0.060,0.056,30.029,32.444,0.913,0.938,0.801,0.806
14,0.059,0.054,30.249,32.843,0.915,0.941,0.809,0.822
15,0.057,0.050,30.439,32.982,0.918,0.942,0.822,0.822
16,0.054,0.047,30.624,33.242,0.921,0.944,0.823,0.831
17,0.052,0.047,30.787,33.302,0.922,0.945,0.834,0.834
18,0.050,0.046,30.945,33.398,0.924,0.946,0.837,0.838
19,0.050,0.045,31.101,33.557,0.926,0.946,0.843,0.843
20,0.048,0.041,31.253,33.744,0.928,0.948,0.848,0.848
