NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.328,0.280,11.156,15.792,0.558,0.802,0.020,0.027
2,0.329,0.208,15.320,18.764,0.674,0.809,0.299,0.240
3,0.176,0.143,18.433,22.243,0.707,0.841,0.653,0.668
4,0.141,0.139,20.215,23.465,0.730,0.850,0.772,0.743
5,0.144,0.112,21.350,24.850,0.743,0.870,0.826,0.806
6,0.116,0.108,22.675,25.350,0.766,0.875,0.841,0.824
7,0.119,0.102,23.313,26.622,0.783,0.879,0.862,0.864
8,0.094,0.090,23.966,27.178,0.796,0.894,0.879,0.879
9,0.087,0.086,24.535,27.670,0.805,0.899,0.887,0.889
10,0.085,0.085,24.952,27.785,0.811,0.896,0.893,0.890
11,0.081,0.077,25.374,28.090,0.823,0.898,0.902,0.898
12,0.079,0.077,25.756,28.435,0.829,0.902,0.906,0.905
13,0.078,0.066,26.041,28.968,0.837,0.902,0.910,0.914
14,0.076,0.063,26.331,29.371,0.842,0.908,0.914,0.921
15,0.076,0.060,26.586,29.644,0.841,0.909,0.920,0.926
16,0.075,0.057,26.821,30.095,0.846,0.916,0.922,0.932
17,0.071,0.055,27.049,30.215,0.852,0.916,0.926,0.933
18,0.070,0.057,27.267,30.338,0.854,0.918,0.930,0.935
19,0.067,0.052,27.461,30.459,0.863,0.920,0.932,0.937
20,0.066,0.048,27.640,30.757,0.864,0.924,0.935,0.941
