NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.211,0.263,14.816,19.341,0.400,0.738,0.050,0.007
2,0.184,0.235,17.628,20.027,0.633,0.745,0.263,0.023
3,0.170,0.181,18.939,22.328,0.696,0.794,0.387,0.309
4,0.155,0.117,20.181,23.745,0.709,0.820,0.548,0.456
5,0.144,0.105,21.134,24.466,0.738,0.830,0.627,0.496
6,0.132,0.100,22.174,25.281,0.768,0.840,0.692,0.575
7,0.123,0.092,22.780,25.913,0.793,0.856,0.718,0.634
8,0.111,0.086,23.344,26.413,0.796,0.862,0.748,0.655
9,0.098,0.079,23.825,26.697,0.815,0.868,0.760,0.674
10,0.092,0.072,24.339,27.265,0.833,0.875,0.780,0.707
11,0.089,0.067,24.663,27.797,0.843,0.884,0.789,0.735
12,0.086,0.067,24.977,27.931,0.850,0.886,0.802,0.741
13,0.082,0.063,25.272,28.342,0.860,0.894,0.814,0.761
14,0.077,0.060,25.546,28.575,0.865,0.898,0.830,0.772
15,0.076,0.059,25.804,28.664,0.870,0.898,0.843,0.777
16,0.072,0.057,26.066,28.829,0.877,0.901,0.846,0.785
17,0.071,0.056,26.273,29.023,0.883,0.905,0.855,0.794
18,0.068,0.055,26.469,29.111,0.888,0.906,0.854,0.797
19,0.066,0.054,26.653,29.336,0.891,0.909,0.860,0.808
20,0.066,0.051,26.831,29.464,0.895,0.911,0.863,0.810
