NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.116,0.216,17.128,21.701,0.501,0.816,0.449,0.027
2,0.083,0.102,21.908,26.394,0.707,0.874,0.760,0.453
3,0.074,0.070,24.157,27.953,0.803,0.901,0.829,0.599
4,0.059,0.057,25.869,29.534,0.849,0.919,0.864,0.708
5,0.054,0.043,26.965,30.399,0.893,0.931,0.886,0.745
6,0.047,0.038,27.739,31.210,0.911,0.945,0.899,0.785
7,0.043,0.031,28.412,32.112,0.928,0.950,0.912,0.823
8,0.039,0.028,29.017,32.733,0.933,0.957,0.926,0.844
9,0.034,0.025,29.561,33.354,0.938,0.959,0.933,0.865
10,0.032,0.022,30.072,33.905,0.947,0.964,0.939,0.880
11,0.031,0.022,30.500,33.970,0.953,0.966,0.946,0.880
12,0.028,0.022,30.883,34.052,0.956,0.966,0.949,0.881
13,0.027,0.020,31.236,34.383,0.959,0.968,0.952,0.890
14,0.026,0.020,31.555,34.708,0.964,0.970,0.955,0.896
15,0.023,0.018,31.838,35.028,0.965,0.971,0.958,0.903
16,0.023,0.018,32.117,35.209,0.969,0.972,0.961,0.907
17,0.021,0.017,32.335,35.210,0.970,0.972,0.962,0.908
18,0.019,0.016,32.568,35.483,0.972,0.974,0.964,0.913
19,0.019,0.016,32.761,35.568,0.974,0.974,0.965,0.915
20,0.018,0.016,32.937,35.680,0.975,0.974,0.967,0.916
