NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.265,0.161,12.037,16.898,0.462,0.787,0.044,0.187
2,0.208,0.199,15.395,18.025,0.706,0.817,0.323,0.340
3,0.215,0.113,19.481,24.039,0.802,0.914,0.717,0.794
4,0.165,0.075,22.139,26.809,0.853,0.936,0.869,0.891
5,0.137,0.078,23.610,27.138,0.876,0.937,0.896,0.892
6,0.115,0.059,24.382,28.542,0.890,0.945,0.904,0.922
7,0.113,0.055,25.160,28.948,0.891,0.949,0.915,0.929
8,0.096,0.051,25.796,29.770,0.900,0.953,0.924,0.941
9,0.096,0.051,26.387,30.129,0.906,0.956,0.936,0.945
10,0.085,0.050,26.953,30.254,0.915,0.958,0.940,0.947
11,0.083,0.043,27.459,30.816,0.922,0.959,0.946,0.953
12,0.076,0.041,27.848,31.140,0.926,0.960,0.951,0.956
13,0.065,0.039,28.222,31.334,0.932,0.961,0.952,0.957
14,0.063,0.036,28.568,31.566,0.934,0.962,0.954,0.960
15,0.058,0.035,28.811,32.142,0.937,0.964,0.957,0.964
16,0.057,0.034,29.043,32.289,0.939,0.965,0.960,0.965
17,0.052,0.029,29.271,32.555,0.942,0.966,0.963,0.968
18,0.051,0.028,29.520,32.690,0.944,0.967,0.964,0.969
19,0.050,0.027,29.775,33.021,0.946,0.968,0.966,0.972
20,0.046,0.027,29.979,33.177,0.948,0.969,0.965,0.972
