NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.237,0.254,13.044,17.545,0.680,0.873,0.031,0.022
2,0.198,0.114,19.433,24.475,0.837,0.938,0.451,0.726
3,0.169,0.077,21.030,25.441,0.871,0.942,0.530,0.795
4,0.169,0.066,23.224,26.391,0.888,0.948,0.675,0.854
5,0.131,0.055,24.834,28.822,0.896,0.953,0.775,0.906
6,0.061,0.045,27.258,31.279,0.920,0.958,0.896,0.927
7,0.061,0.039,28.243,31.973,0.925,0.963,0.907,0.938
8,0.058,0.028,29.315,32.804,0.926,0.965,0.915,0.946
9,0.046,0.027,29.998,33.632,0.936,0.965,0.921,0.952
10,0.044,0.026,30.407,33.753,0.939,0.966,0.922,0.953
11,0.042,0.025,30.752,33.952,0.942,0.967,0.927,0.955
12,0.039,0.024,31.077,34.358,0.945,0.970,0.926,0.959
13,0.038,0.021,31.360,34.551,0.946,0.970,0.932,0.962
14,0.037,0.022,31.723,34.888,0.948,0.970,0.939,0.963
15,0.032,0.020,32.026,35.242,0.950,0.973,0.939,0.967
16,0.030,0.019,32.298,35.573,0.952,0.973,0.948,0.970
17,0.029,0.017,32.554,35.830,0.955,0.974,0.950,0.971
18,0.026,0.018,32.753,35.920,0.958,0.975,0.951,0.972
19,0.027,0.016,32.779,36.107,0.957,0.976,0.951,0.972
20,0.025,0.017,33.130,36.097,0.959,0.976,0.954,0.972
