NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.230,0.238,11.501,15.754,0.281,0.624,0.104,0.022
2,0.224,0.201,14.011,17.497,0.498,0.693,0.276,0.140
3,0.264,0.222,15.496,19.017,0.555,0.712,0.489,0.349
4,0.192,0.148,16.803,20.923,0.605,0.773,0.616,0.519
5,0.155,0.146,18.135,21.605,0.679,0.788,0.689,0.570
6,0.140,0.151,18.915,22.358,0.686,0.810,0.741,0.642
7,0.136,0.140,19.692,23.263,0.713,0.826,0.768,0.696
8,0.121,0.114,20.433,23.949,0.745,0.840,0.794,0.729
9,0.113,0.108,20.932,24.084,0.759,0.846,0.810,0.735
10,0.104,0.102,21.292,24.530,0.774,0.849,0.820,0.764
11,0.101,0.089,21.655,25.050,0.787,0.855,0.836,0.788
12,0.098,0.086,21.976,25.207,0.799,0.858,0.843,0.795
13,0.091,0.080,22.254,25.698,0.809,0.866,0.850,0.815
14,0.089,0.074,22.490,25.988,0.816,0.871,0.859,0.827
15,0.083,0.070,22.716,26.128,0.822,0.875,0.867,0.835
16,0.080,0.068,22.934,26.265,0.827,0.877,0.874,0.836
17,0.080,0.067,23.137,26.470,0.833,0.882,0.880,0.844
18,0.078,0.065,23.291,26.677,0.839,0.884,0.880,0.845
19,0.075,0.063,23.499,26.861,0.843,0.888,0.885,0.851
20,0.074,0.063,23.686,26.952,0.847,0.891,0.891,0.854
