NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.233,0.132,14.399,19.403,0.700,0.886,0.063,0.209
2,0.207,0.130,18.674,23.924,0.762,0.907,0.325,0.670
3,0.181,0.139,20.773,24.407,0.797,0.905,0.404,0.706
4,0.164,0.115,21.872,26.470,0.837,0.912,0.432,0.784
5,0.141,0.088,22.834,27.291,0.830,0.915,0.578,0.817
6,0.137,0.080,23.578,27.931,0.838,0.920,0.623,0.845
7,0.125,0.077,24.243,28.704,0.845,0.925,0.663,0.857
8,0.127,0.076,24.808,29.090,0.851,0.929,0.709,0.873
9,0.111,0.068,25.340,29.443,0.863,0.933,0.731,0.880
10,0.106,0.066,25.785,29.718,0.866,0.934,0.754,0.885
11,0.099,0.054,26.245,30.436,0.875,0.938,0.769,0.900
12,0.101,0.054,26.611,30.743,0.882,0.940,0.779,0.906
13,0.095,0.048,26.982,31.011,0.886,0.941,0.792,0.911
14,0.087,0.047,27.265,31.117,0.890,0.942,0.796,0.914
15,0.087,0.044,27.560,31.531,0.891,0.945,0.830,0.921
16,0.085,0.046,27.877,31.466,0.896,0.944,0.834,0.920
17,0.078,0.041,28.160,31.993,0.902,0.946,0.838,0.927
18,0.072,0.042,28.394,31.951,0.905,0.947,0.852,0.927
19,0.069,0.041,28.609,32.172,0.904,0.949,0.861,0.931
20,0.068,0.039,28.808,32.409,0.908,0.950,0.863,0.934
