NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.259,0.249,11.453,15.938,0.103,0.644,0.000,0.001
2,0.208,0.116,16.896,21.485,0.790,0.875,0.549,0.545
3,0.130,0.074,19.562,24.256,0.884,0.911,0.739,0.746
4,0.101,0.063,21.654,25.632,0.923,0.916,0.822,0.811
5,0.079,0.050,23.102,26.814,0.944,0.934,0.861,0.854
6,0.070,0.046,24.089,27.997,0.956,0.941,0.884,0.888
7,0.064,0.040,24.827,28.904,0.963,0.944,0.898,0.910
8,0.059,0.036,25.393,29.134,0.965,0.947,0.909,0.913
9,0.055,0.035,25.978,29.147,0.969,0.949,0.922,0.912
10,0.050,0.032,26.436,29.587,0.972,0.951,0.928,0.920
11,0.046,0.029,26.832,30.088,0.974,0.954,0.934,0.929
12,0.043,0.030,27.211,30.173,0.976,0.956,0.939,0.931
13,0.042,0.029,27.503,30.542,0.978,0.958,0.943,0.937
14,0.038,0.030,27.786,30.486,0.979,0.958,0.946,0.935
15,0.036,0.028,28.032,30.895,0.981,0.959,0.947,0.942
16,0.034,0.025,28.233,31.014,0.982,0.961,0.950,0.944
17,0.032,0.022,28.444,31.415,0.982,0.961,0.952,0.949
18,0.031,0.022,28.627,31.419,0.983,0.962,0.954,0.948
19,0.031,0.022,28.804,31.439,0.984,0.964,0.956,0.948
20,0.029,0.022,28.976,31.487,0.984,0.965,0.957,0.949
