NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.218,0.283,11.212,16.146,0.232,0.527,0.063,0.002
2,0.179,0.217,14.889,16.835,0.593,0.635,0.413,0.049
3,0.171,0.137,17.097,21.411,0.678,0.764,0.620,0.512
4,0.167,0.129,18.284,22.602,0.727,0.815,0.694,0.629
5,0.159,0.119,19.217,22.949,0.741,0.828,0.743,0.657
6,0.125,0.103,20.166,23.477,0.778,0.839,0.776,0.696
7,0.117,0.093,20.841,24.384,0.799,0.857,0.805,0.742
8,0.107,0.088,21.493,24.689,0.813,0.867,0.834,0.757
9,0.104,0.085,21.953,25.080,0.827,0.876,0.849,0.778
10,0.110,0.077,22.430,25.796,0.837,0.880,0.860,0.809
11,0.092,0.073,22.861,26.206,0.848,0.887,0.870,0.825
12,0.090,0.064,23.175,26.586,0.856,0.892,0.877,0.837
13,0.089,0.059,23.472,26.908,0.861,0.898,0.885,0.845
14,0.088,0.058,23.754,27.045,0.867,0.903,0.893,0.850
15,0.076,0.056,24.013,27.328,0.873,0.906,0.897,0.859
16,0.074,0.051,24.257,27.731,0.878,0.910,0.902,0.871
17,0.071,0.052,24.465,27.944,0.882,0.915,0.906,0.877
18,0.068,0.050,24.673,28.025,0.886,0.918,0.910,0.879
19,0.067,0.051,24.862,28.095,0.890,0.920,0.914,0.881
20,0.065,0.049,25.030,28.262,0.893,0.922,0.917,0.885
