NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.272,0.261,10.609,15.363,0.331,0.633,0.015,0.027
2,0.253,0.216,13.638,16.634,0.566,0.716,0.170,0.109
3,0.174,0.132,17.491,22.014,0.678,0.819,0.648,0.673
4,0.120,0.104,19.081,22.932,0.730,0.851,0.706,0.737
5,0.111,0.096,20.362,24.067,0.746,0.863,0.747,0.776
6,0.092,0.080,21.170,24.898,0.773,0.867,0.783,0.805
7,0.088,0.070,21.769,25.627,0.783,0.876,0.823,0.823
8,0.082,0.067,22.208,26.188,0.795,0.888,0.839,0.847
9,0.086,0.059,22.673,26.646,0.811,0.894,0.865,0.865
10,0.074,0.057,23.202,27.076,0.815,0.898,0.867,0.871
11,0.079,0.055,23.712,27.488,0.825,0.903,0.884,0.885
12,0.072,0.053,24.263,27.681,0.839,0.906,0.894,0.890
13,0.066,0.049,24.562,27.995,0.849,0.910,0.897,0.897
14,0.065,0.048,24.856,28.308,0.855,0.913,0.900,0.901
15,0.061,0.047,25.160,28.523,0.861,0.915,0.907,0.903
16,0.060,0.043,25.392,28.884,0.870,0.919,0.911,0.912
17,0.058,0.041,25.600,29.118,0.874,0.922,0.914,0.917
18,0.056,0.041,25.819,29.242,0.880,0.922,0.916,0.919
19,0.055,0.038,26.019,29.507,0.884,0.925,0.920,0.923
20,0.053,0.037,26.179,29.730,0.886,0.927,0.924,0.927
