NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.220,0.237,12.611,17.163,0.322,0.668,0.077,0.016
2,0.171,0.147,16.367,20.495,0.653,0.751,0.390,0.310
3,0.154,0.155,17.951,21.120,0.751,0.765,0.482,0.408
4,0.162,0.165,19.339,22.026,0.748,0.789,0.614,0.498
5,0.164,0.154,20.073,22.843,0.772,0.803,0.664,0.579
6,0.123,0.110,20.764,24.220,0.788,0.829,0.697,0.667
7,0.113,0.113,21.359,24.244,0.800,0.835,0.724,0.665
8,0.105,0.110,21.825,24.924,0.816,0.845,0.745,0.714
9,0.097,0.099,22.240,25.494,0.823,0.855,0.768,0.745
10,0.094,0.087,22.584,26.041,0.838,0.862,0.787,0.772
11,0.095,0.086,22.894,26.168,0.842,0.865,0.801,0.771
12,0.093,0.081,23.236,26.484,0.849,0.871,0.812,0.785
13,0.090,0.078,23.516,26.678,0.851,0.876,0.824,0.795
14,0.085,0.073,23.788,27.122,0.855,0.879,0.831,0.813
15,0.084,0.071,24.030,27.264,0.865,0.882,0.839,0.816
16,0.082,0.066,24.258,27.420,0.868,0.885,0.845,0.822
17,0.079,0.064,24.431,27.588,0.873,0.889,0.854,0.830
18,0.078,0.061,24.607,27.754,0.877,0.891,0.856,0.835
19,0.076,0.059,24.789,27.850,0.882,0.894,0.863,0.838
20,0.067,0.058,24.953,27.931,0.886,0.896,0.866,0.840
