,L_PSNR,L_SSIM,PSNR,SSIM
0,14.799645622,0.340953841185,18.7358268844,0.697416996101
1,15.2755787744,0.389457883401,19.6334706902,0.715265042241
2,18.4282126952,0.646837153691,22.5036909012,0.802929042877
3,19.4614854506,0.677746979884,23.6027041168,0.822400026711
4,20.7748565056,0.741299971327,24.8010990285,0.848416995044
5,22.0438241071,0.77807141987,25.9024803608,0.865455217952
6,22.2812887593,0.789140252682,26.238610791,0.874561918767
7,22.6113380003,0.80420690552,26.5939526065,0.884344085175
8,23.6115899862,0.833016153865,27.4281177412,0.893877294951
9,24.0481291125,0.839980657107,27.8441956842,0.898922677201
10,24.2895546878,0.845806063662,28.1151215989,0.903710879295
11,24.4903872387,0.852686611265,28.3449653447,0.908877470246
12,24.7289251741,0.861271218695,28.5818837694,0.913578848769
13,25.0134667297,0.864407856653,28.8498814671,0.915927107969
14,25.2875454272,0.87212004067,29.1060089067,0.91961459506
15,25.4487356301,0.876241661399,29.2853195581,0.922772974658
16,25.9795982827,0.884048304086,29.7099392679,0.925401678966
17,26.1881689771,0.887295981439,29.9065839997,0.927583403852
18,26.2938459477,0.890699143101,30.0332741679,0.930147095881
19,26.6507792424,0.896220365106,30.3188940407,0.932239015728
