,L_PSNR,L_SSIM,PSNR,SSIM
0,13.2810236114,0.361926013186,17.1628080191,0.667901350226
1,17.3123949715,0.625760352663,20.4954129744,0.750778645158
2,17.4613626986,0.630928493589,21.1199153014,0.76486592468
3,18.3138763398,0.664625409524,22.0255395165,0.788870010857
4,19.0329553286,0.687322475472,22.8429616055,0.803446929135
5,20.7208587206,0.751152976635,24.2199643786,0.828843252006
6,20.4674598266,0.74629835126,24.2435518598,0.834889320783
7,21.2525082624,0.770977297055,24.9238839246,0.844642157126
8,21.9548108947,0.795353793716,25.4937751217,0.854841991992
9,22.6322711466,0.812349593332,26.0413040581,0.861893307394
10,22.6799496201,0.813852867289,26.167908647,0.86485000336
11,23.0090912843,0.822864048407,26.4839247509,0.871263035884
12,23.1767294469,0.828796441624,26.6778246557,0.875722601022
13,23.7474936443,0.837234628222,27.1221223002,0.879458447774
14,23.8427749817,0.838363879705,27.2639027098,0.881929508057
15,23.9876458988,0.842522577526,27.4202943785,0.884961597607
16,24.146017133,0.846792854655,27.5878571439,0.888777823444
17,24.3033845147,0.850295818507,27.7540909044,0.891326669161
18,24.3547084714,0.852685141884,27.8497870263,0.894184087268
19,24.3983516214,0.85284911485,27.9310253024,0.896272664245
