,L_PSNR,L_SSIM,PSNR,SSIM
0,14.5480939325,0.671742750189,18.1632542555,0.840380638872
1,20.6083601909,0.843632487028,22.776732821,0.888384805173
2,21.3510688856,0.861891803924,24.6930296437,0.905438273691
3,22.204501225,0.874489945612,25.6321362848,0.912595043681
4,24.8544414954,0.902880255646,27.6384513992,0.924570789802
5,23.4166485301,0.882385694723,27.1764993719,0.923278392616
6,25.0165255664,0.900166054793,28.4783989096,0.929618944349
7,25.4999297863,0.908188440901,28.9886472728,0.935008453213
8,26.1266849135,0.914958840113,29.6066404658,0.940506318317
9,26.13015726,0.914425482303,29.8358874408,0.944076480028
10,26.7090404978,0.91442151924,30.3448962904,0.945392876981
11,27.1913221437,0.915509895308,30.7897621393,0.946573340425
12,27.96548596,0.919325014454,31.4017319263,0.948389463009
13,28.1608793573,0.9219915992,31.6441719202,0.950514173757
14,28.2030662423,0.923794584928,31.7582935152,0.952356873497
15,28.4042167778,0.924332751758,31.9585744842,0.953180456328
16,28.4185025097,0.925725838446,32.0544392152,0.954758527705
17,28.5100970926,0.925098906511,32.191730676,0.955678384353
18,29.0354326368,0.931876549469,32.6036874195,0.958071229562
19,29.3308229456,0.935776040598,32.8615263564,0.960018210908
