,GMSD,PSNR,SSIM,VIF
0,0.268689772449,14.0126106577,0.240458119187,0.00850433285118
1,0.256325542194,16.6152097292,0.554658193252,0.248062059199
2,0.25632922716,17.718553052,0.607639935446,0.393102858221
3,0.158424452771,19.4884514918,0.729226769931,0.560255557093
4,0.155020292743,20.0883548623,0.760071056226,0.598408938831
5,0.14085822678,20.8235835467,0.790793239148,0.644662083423
6,0.139219442866,21.0684650351,0.803336261929,0.658601442186
7,0.137433893737,21.2827058419,0.806841978834,0.677634543763
8,0.119394786925,21.7353363615,0.829755228716,0.700261187677
9,0.116657841839,21.9021606329,0.837880635984,0.717294406191
10,0.0924182172506,23.2012216867,0.865888019928,0.762297340098
11,0.0860227507397,23.4253201273,0.872432315614,0.771951587202
12,0.0849715378027,23.6055595084,0.875142869023,0.78107671049
13,0.0802830522088,24.1709320186,0.886476855881,0.80386124253
14,0.0745429178369,24.4265081762,0.894767544857,0.813543644166
15,0.0718911848532,24.636898574,0.89859171212,0.82658922123
16,0.0661554770528,25.0045125531,0.904885800411,0.842703708639
17,0.0645387455049,25.1817751406,0.908153322694,0.847683242697
18,0.0635421831751,25.2856461473,0.90987363595,0.849691550733
19,0.0620250759447,25.5534770727,0.913633353982,0.857655262769
