NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.263,0.178,10.366,15.003,0.506,0.737,0.016,0.090
2,0.250,0.175,13.695,16.191,0.725,0.802,0.238,0.205
3,0.166,0.085,18.655,24.113,0.788,0.883,0.719,0.819
4,0.131,0.074,20.690,25.049,0.800,0.891,0.820,0.838
5,0.109,0.057,22.167,26.587,0.834,0.903,0.853,0.881
6,0.100,0.050,22.767,27.132,0.847,0.913,0.861,0.893
7,0.098,0.049,23.396,27.473,0.845,0.919,0.865,0.904
8,0.091,0.043,23.918,27.937,0.856,0.924,0.875,0.910
9,0.087,0.041,24.343,28.364,0.867,0.930,0.885,0.921
10,0.074,0.039,24.743,28.575,0.873,0.931,0.906,0.925
11,0.068,0.037,25.062,28.729,0.877,0.935,0.906,0.926
12,0.067,0.036,25.455,28.944,0.882,0.937,0.921,0.930
13,0.062,0.035,25.810,29.411,0.889,0.936,0.923,0.933
14,0.062,0.035,26.091,29.453,0.898,0.939,0.928,0.933
15,0.061,0.034,26.316,29.595,0.901,0.940,0.932,0.935
16,0.057,0.029,26.557,30.173,0.906,0.943,0.934,0.945
17,0.054,0.029,26.797,30.404,0.910,0.944,0.935,0.948
18,0.050,0.028,26.983,30.177,0.913,0.950,0.937,0.949
19,0.049,0.027,27.158,30.707,0.917,0.949,0.940,0.951
20,0.049,0.027,27.326,30.737,0.919,0.950,0.941,0.952
