NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.311,0.358,8.985,14.842,0.638,0.903,0.248,0.000
2,0.209,0.148,15.342,18.228,0.900,0.931,0.686,0.464
3,0.117,0.089,20.187,25.085,0.916,0.964,0.861,0.840
4,0.081,0.060,26.330,31.860,0.956,0.984,0.971,0.967
5,0.069,0.042,28.579,33.435,0.957,0.984,0.982,0.979
6,0.060,0.039,30.153,34.037,0.963,0.988,0.989,0.980
7,0.056,0.028,30.786,36.327,0.966,0.990,0.991,0.989
8,0.056,0.027,31.419,36.645,0.969,0.991,0.991,0.990
9,0.051,0.027,31.976,36.913,0.968,0.991,0.991,0.991
10,0.047,0.025,32.447,37.372,0.971,0.992,0.992,0.992
11,0.045,0.025,32.945,37.972,0.973,0.992,0.992,0.993
12,0.045,0.024,33.173,38.356,0.973,0.992,0.993,0.993
13,0.035,0.024,33.752,38.536,0.975,0.992,0.994,0.993
14,0.033,0.020,34.011,39.044,0.976,0.993,0.995,0.994
15,0.031,0.023,34.321,38.886,0.977,0.993,0.994,0.994
16,0.029,0.022,34.613,38.984,0.977,0.993,0.994,0.994
17,0.030,0.018,34.883,39.822,0.979,0.993,0.995,0.995
18,0.028,0.015,35.094,39.918,0.979,0.994,0.995,0.995
19,0.027,0.015,35.340,40.104,0.979,0.994,0.995,0.995
20,0.028,0.017,35.633,40.234,0.981,0.994,0.996,0.995
