NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.205,0.216,10.509,15.014,0.711,0.903,0.241,0.026
2,0.223,0.103,19.202,23.926,0.905,0.957,0.601,0.900
3,0.156,0.107,21.387,26.470,0.911,0.965,0.810,0.907
4,0.138,0.076,23.114,27.351,0.920,0.965,0.853,0.932
5,0.107,0.076,24.616,29.235,0.934,0.968,0.933,0.936
6,0.097,0.051,25.876,30.230,0.939,0.969,0.949,0.953
7,0.070,0.048,27.423,31.113,0.943,0.970,0.946,0.963
8,0.064,0.035,29.017,33.233,0.951,0.976,0.964,0.978
9,0.062,0.035,29.641,33.552,0.952,0.977,0.960,0.978
10,0.059,0.034,30.037,33.669,0.956,0.978,0.959,0.979
11,0.059,0.032,30.418,34.280,0.956,0.979,0.960,0.982
12,0.056,0.030,30.730,34.585,0.957,0.980,0.960,0.984
13,0.055,0.029,31.053,34.722,0.958,0.980,0.961,0.984
14,0.054,0.028,31.374,34.936,0.960,0.981,0.964,0.985
15,0.052,0.027,31.691,35.268,0.962,0.981,0.968,0.985
16,0.050,0.025,32.014,35.310,0.964,0.982,0.969,0.985
17,0.049,0.024,32.275,35.540,0.964,0.982,0.969,0.986
18,0.042,0.023,32.507,35.868,0.966,0.982,0.971,0.986
19,0.040,0.022,32.693,35.943,0.967,0.983,0.970,0.986
20,0.040,0.022,32.912,36.129,0.968,0.983,0.972,0.986
