NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.275,0.172,11.196,15.224,0.536,0.800,0.014,0.119
2,0.220,0.171,16.620,20.293,0.746,0.868,0.414,0.596
3,0.160,0.218,19.595,23.225,0.824,0.909,0.456,0.782
4,0.143,0.123,21.077,24.354,0.833,0.906,0.613,0.840
5,0.131,0.091,22.665,26.021,0.848,0.912,0.692,0.886
6,0.114,0.080,23.721,27.519,0.880,0.929,0.719,0.907
7,0.103,0.073,24.810,28.484,0.880,0.933,0.784,0.930
8,0.098,0.067,25.502,29.029,0.890,0.937,0.819,0.939
9,0.093,0.063,26.142,29.544,0.893,0.940,0.849,0.945
10,0.089,0.063,26.614,30.131,0.898,0.942,0.860,0.950
11,0.077,0.059,27.052,30.607,0.903,0.945,0.864,0.954
12,0.075,0.058,27.510,30.754,0.907,0.946,0.878,0.955
13,0.071,0.057,27.870,31.160,0.909,0.948,0.886,0.959
14,0.063,0.050,28.227,31.455,0.917,0.950,0.884,0.962
15,0.062,0.048,28.497,31.766,0.918,0.951,0.893,0.963
16,0.062,0.045,28.761,32.209,0.920,0.955,0.893,0.965
17,0.057,0.044,28.987,32.277,0.922,0.956,0.895,0.966
18,0.057,0.040,29.263,32.604,0.925,0.957,0.901,0.968
19,0.053,0.040,29.507,32.736,0.927,0.959,0.906,0.969
20,0.050,0.039,29.714,32.875,0.928,0.959,0.909,0.969
