NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.177,0.160,14.198,18.038,0.549,0.801,0.264,0.335
2,0.143,0.151,19.659,23.007,0.677,0.825,0.705,0.688
3,0.114,0.121,21.779,24.591,0.736,0.851,0.760,0.746
4,0.111,0.107,23.055,26.420,0.752,0.873,0.839,0.819
5,0.090,0.096,24.237,27.561,0.792,0.891,0.854,0.850
6,0.079,0.093,24.941,28.163,0.817,0.899,0.863,0.874
7,0.075,0.085,25.668,28.668,0.834,0.902,0.886,0.889
8,0.066,0.080,26.162,28.974,0.852,0.904,0.889,0.893
9,0.063,0.080,26.571,29.004,0.853,0.904,0.902,0.891
10,0.062,0.072,26.906,29.416,0.860,0.908,0.910,0.898
11,0.057,0.067,27.267,29.928,0.872,0.916,0.913,0.908
12,0.053,0.059,27.560,30.273,0.877,0.919,0.919,0.916
13,0.052,0.056,27.854,30.642,0.880,0.924,0.925,0.921
14,0.049,0.054,28.144,30.985,0.886,0.927,0.928,0.927
15,0.048,0.051,28.411,31.390,0.887,0.931,0.931,0.932
16,0.044,0.050,28.628,31.511,0.894,0.932,0.932,0.935
17,0.043,0.048,28.847,31.758,0.897,0.935,0.936,0.938
18,0.042,0.047,29.043,31.802,0.898,0.935,0.938,0.938
19,0.041,0.046,29.234,31.954,0.902,0.937,0.940,0.941
20,0.039,0.043,29.427,32.204,0.906,0.940,0.943,0.943
