NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.242,0.195,13.207,17.918,0.579,0.855,0.052,0.064
2,0.166,0.114,19.106,23.671,0.728,0.902,0.744,0.673
3,0.148,0.091,22.611,26.934,0.789,0.916,0.781,0.826
4,0.116,0.060,24.992,29.151,0.855,0.933,0.811,0.885
5,0.101,0.049,26.469,30.519,0.888,0.946,0.832,0.916
6,0.094,0.045,27.446,30.775,0.906,0.949,0.853,0.918
7,0.079,0.040,28.360,31.364,0.916,0.954,0.865,0.928
8,0.070,0.036,29.108,31.797,0.930,0.957,0.873,0.935
9,0.064,0.036,29.663,32.478,0.939,0.958,0.877,0.941
10,0.060,0.030,30.094,33.079,0.945,0.962,0.881,0.948
11,0.052,0.028,30.461,33.486,0.951,0.964,0.885,0.953
12,0.049,0.025,30.794,33.837,0.957,0.966,0.887,0.956
13,0.047,0.025,31.124,33.981,0.955,0.967,0.899,0.957
14,0.045,0.023,31.426,34.476,0.958,0.970,0.905,0.961
15,0.043,0.022,31.702,34.766,0.957,0.972,0.915,0.964
16,0.039,0.021,31.950,35.102,0.960,0.973,0.919,0.966
17,0.040,0.020,32.214,35.289,0.961,0.974,0.921,0.967
18,0.038,0.020,32.461,35.454,0.962,0.974,0.929,0.968
19,0.035,0.019,32.686,35.767,0.964,0.976,0.928,0.970
20,0.034,0.018,32.895,35.874,0.965,0.977,0.934,0.971
