NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.159,0.177,13.651,17.106,0.399,0.740,0.583,0.332
2,0.123,0.171,18.160,21.403,0.597,0.785,0.783,0.668
3,0.104,0.120,20.384,23.768,0.660,0.794,0.847,0.803
4,0.085,0.097,21.825,25.597,0.699,0.828,0.879,0.849
5,0.075,0.084,22.670,26.681,0.729,0.855,0.892,0.872
6,0.073,0.079,23.451,27.228,0.758,0.864,0.915,0.889
7,0.065,0.068,24.064,27.783,0.777,0.878,0.923,0.895
8,0.062,0.061,24.524,28.456,0.798,0.886,0.933,0.913
9,0.055,0.055,24.986,28.809,0.813,0.894,0.937,0.919
10,0.052,0.052,25.389,29.111,0.825,0.896,0.943,0.926
11,0.048,0.046,25.694,29.510,0.832,0.904,0.945,0.928
12,0.048,0.045,26.008,29.825,0.842,0.909,0.949,0.933
13,0.044,0.042,26.320,30.068,0.849,0.915,0.951,0.936
14,0.042,0.039,26.545,30.337,0.854,0.917,0.953,0.940
15,0.041,0.037,26.759,30.539,0.860,0.920,0.955,0.942
16,0.040,0.036,26.971,30.749,0.865,0.923,0.957,0.945
17,0.039,0.034,27.153,31.023,0.866,0.926,0.959,0.948
18,0.037,0.032,27.327,31.243,0.872,0.930,0.960,0.950
19,0.035,0.031,27.506,31.416,0.875,0.932,0.961,0.952
20,0.035,0.031,27.671,31.568,0.880,0.935,0.963,0.953
