NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.182,0.090,21.631,27.155,0.846,0.951,0.149,0.842
2,0.134,0.059,24.797,30.236,0.887,0.963,0.336,0.916
3,0.117,0.045,27.028,32.056,0.916,0.974,0.547,0.948
4,0.102,0.038,29.223,34.219,0.934,0.979,0.697,0.965
5,0.085,0.036,30.584,34.599,0.947,0.979,0.787,0.967
6,0.074,0.027,31.627,36.193,0.956,0.983,0.802,0.979
7,0.064,0.027,32.487,36.968,0.962,0.983,0.830,0.981
8,0.057,0.024,33.313,37.926,0.962,0.986,0.863,0.984
9,0.049,0.020,34.042,38.409,0.967,0.986,0.898,0.987
10,0.044,0.020,34.716,38.614,0.971,0.986,0.904,0.987
11,0.036,0.018,35.264,38.938,0.975,0.987,0.902,0.988
12,0.034,0.016,35.682,39.485,0.976,0.988,0.911,0.989
13,0.033,0.013,36.068,39.710,0.979,0.989,0.913,0.989
14,0.031,0.012,36.384,40.037,0.979,0.990,0.917,0.990
15,0.028,0.012,36.746,40.530,0.980,0.990,0.924,0.991
16,0.026,0.011,37.057,40.667,0.982,0.990,0.926,0.992
17,0.025,0.011,37.326,41.097,0.982,0.991,0.932,0.992
18,0.024,0.010,37.552,41.184,0.983,0.991,0.934,0.993
19,0.024,0.011,37.691,41.362,0.985,0.991,0.933,0.993
20,0.021,0.011,37.953,41.620,0.985,0.992,0.938,0.993
