,L_PSNR,L_SSIM,PSNR,SSIM
0,11.8137059263,0.612994906997,16.4221463218,0.856553671788
1,18.0407818688,0.780380985934,22.2691331594,0.912205137458
2,22.9668581012,0.860076053824,26.7481590025,0.925791765918
3,22.9786845535,0.859564810498,26.9782643777,0.934025335302
4,23.0940694876,0.855112033763,27.2193362906,0.936695220476
5,24.9826095842,0.899432330197,28.8315205967,0.950229878042
6,24.9826095842,0.899432330197,29.0767627152,0.950700042534
7,26.2325761091,0.897334069738,30.151963334,0.950178056878
8,26.2900843494,0.90022408149,30.2577006735,0.951389657596
9,26.2973170504,0.900152460049,30.3432920481,0.952277037881
10,26.2932531058,0.90068733118,30.4066858086,0.952632232096
11,26.3178873882,0.89786100792,30.4706955898,0.952043267975
12,26.5861819914,0.902609010788,30.7059076658,0.953670050762
13,26.7989581084,0.901925517986,30.8844615098,0.953482974916
14,27.0758975089,0.904489475163,31.1203098167,0.954350629737
15,27.0853101446,0.904486890981,31.2242692989,0.955697801947
16,28.2375317078,0.909086817712,32.2281931622,0.957669658905
17,28.2375317078,0.909086817712,32.2558022143,0.957806683255
18,28.2375317078,0.909086817712,32.2691194234,0.957933219446
19,28.2574498978,0.909455693047,32.3164672852,0.958535759434
