,L_PSNR,L_SSIM,PSNR,SSIM
0,11.7325602649,0.40643071818,15.3618704181,0.632532180384
1,11.9136173398,0.403726909543,16.2350858724,0.677628794541
2,15.6266245102,0.604304205295,19.5000360752,0.749132642378
3,18.1134462848,0.706747428974,21.5898834834,0.788714375666
4,19.4899305182,0.727279238209,22.5765501166,0.794725070384
5,19.7382548982,0.731810014979,23.0320788455,0.807514919461
6,19.8063202485,0.729719018604,23.2723809296,0.820216529852
7,19.8510588527,0.729895284013,23.3388951702,0.822932574908
8,19.8780114498,0.730262516249,23.4159292495,0.824479690793
9,19.9932632416,0.730785312603,23.5604633444,0.826593124581
10,19.9963592618,0.731127979238,23.6424311817,0.832685087798
11,20.0029323294,0.732118244448,23.7130988625,0.836218319628
12,20.4413161038,0.735067172325,24.0706116089,0.83782596806
13,20.7988892041,0.748277284951,24.344873597,0.842297165401
14,20.8730380854,0.7491014588,24.4031509904,0.84283526762
15,21.3670547099,0.763380612702,24.8154257382,0.849682562933
16,21.617039877,0.770102847605,25.0176880803,0.852705985348
17,22.5652628925,0.798511983612,25.915537093,0.868223861214
18,22.9226121577,0.806854089118,26.2026704988,0.871908110113
19,22.9391511594,0.804192996461,26.2269586633,0.871422146135
