,GMSD,PSNR,SSIM,VIF
0,0.174329575,20.3392045,0.941612129,0.095303324
1,0.194487901,22.09615827,0.926040319,0.262130925
2,0.163390534,24.70427185,0.9383095,0.463847133
3,0.136038166,25.47449168,0.929583255,0.514661694
4,0.137262647,25.77309357,0.925031384,0.541018781
5,0.130001804,26.79269701,0.925234318,0.645410625
6,0.134134695,27.22107854,0.921827612,0.677030658
7,0.135372547,27.65473578,0.92650706,0.698842442
8,0.128255873,27.79306137,0.930059515,0.709306225
9,0.124662087,28.29041535,0.93051072,0.729381198
10,0.122637411,28.41872915,0.930202742,0.741521083
11,0.121609568,28.59064898,0.931561626,0.748556031
12,0.10826619,28.96393762,0.930775712,0.760050447
13,0.106748814,29.07326957,0.931871816,0.765032779
14,0.085531278,29.53281037,0.93387336,0.790428145
15,0.086069118,29.74487782,0.936485666,0.802401572
16,0.084730136,30.00663391,0.939814438,0.806193727
17,0.08575828,30.16832004,0.939792704,0.81339437
18,0.085975509,30.19848461,0.940038847,0.812517816
19,0.086029421,30.21687972,0.940037239,0.815018452
